stage	backend	model	program	repetition	status	real_seconds	user_seconds	sys_seconds	peak_rss_bytes	complete_executions	blocked_executions
pso-before	cat	sc	correct/data-structures/ms-queue-dynamic/variants/main0.c	4	0	0.06	0.04	0.01	53673984	2	6
pso-before	caat	sc	correct/data-structures/treiber-stack-dynamic/variants/main0.c	4	0	0.06	0.04	0.01	53559296	8	6
pso-before	cat	sc	correct/data-structures/treiber-stack-dynamic/variants/main0.c	4	0	0.06	0.03	0.01	53526528	8	6
pso-before	caat	sc	correct/data-structures/fcombiner-async/variants/main0.c	4	0	0.11	0.08	0.01	54394880	24	16
pso-before	cat	sc	correct/data-structures/fcombiner-async/variants/main0.c	4	0	0.17	0.14	0.01	54509568	24	16
pso-before	caat	tso	correct/litmus/SB/variants/sb0.c	4	0	0.05	0.03	0.01	52723712	4	0
pso-before	cat	tso	correct/litmus/SB/variants/sb0.c	4	0	0.05	0.03	0.01	52527104	4	0
pso-before	caat	tso	correct/litmus/RMWFix/variants/rmwfix0.c	4	0	0.05	0.03	0.01	52543488	4	0
pso-before	cat	tso	correct/litmus/RMWFix/variants/rmwfix0.c	4	0	0.05	0.03	0.01	52494336	4	0
pso-before	caat	tso	correct/data-structures/ms-queue-dynamic/variants/main0.c	4	0	0.06	0.04	0.01	53772288	2	6
pso-before	cat	tso	correct/data-structures/ms-queue-dynamic/variants/main0.c	4	0	0.06	0.04	0.01	53772288	2	6
pso-before	caat	tso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	4	0	0.06	0.04	0.01	53493760	8	6
pso-before	cat	tso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	4	0	0.07	0.04	0.02	53460992	8	6
pso-before	caat	tso	correct/data-structures/fcombiner-async/variants/main0.c	4	42	0.08	0.06	0.02	54509568	0	0
pso-before	cat	tso	correct/data-structures/fcombiner-async/variants/main0.c	4	42	0.08	0.06	0.02	54657024	0	0
pso-before	caat	pso	correct/litmus/SB/variants/sb0.c	4	0	0.05	0.03	0.01	52641792	4	0
pso-before	cat	pso	correct/litmus/SB/variants/sb0.c	4	0	0.05	0.03	0.01	52625408	4	0
pso-before	caat	pso	correct/litmus/RMWFix/variants/rmwfix0.c	4	0	0.05	0.03	0.01	52543488	4	0
pso-before	cat	pso	correct/litmus/RMWFix/variants/rmwfix0.c	4	0	0.05	0.03	0.01	52707328	4	0
pso-before	caat	pso	correct/data-structures/ms-queue-dynamic/variants/main0.c	4	0	0.07	0.04	0.01	53788672	2	6
pso-before	cat	pso	correct/data-structures/ms-queue-dynamic/variants/main0.c	4	0	0.06	0.04	0.01	53805056	2	6
pso-before	caat	pso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	4	0	0.08	0.05	0.01	53592064	11	7
pso-before	cat	pso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	4	0	0.07	0.04	0.02	53493760	11	7
pso-before	caat	pso	correct/data-structures/fcombiner-async/variants/main0.c	4	42	0.11	0.08	0.02	54493184	0	0
pso-before	cat	pso	correct/data-structures/fcombiner-async/variants/main0.c	4	42	0.09	0.06	0.01	54509568	0	0
pso-before	cat	sc	correct/litmus/SB/variants/sb0.c	5	0	0.05	0.03	0.01	52494336	3	0
pso-before	caat	sc	correct/litmus/SB/variants/sb0.c	5	0	0.05	0.03	0.01	52527104	3	0
pso-before	cat	sc	correct/litmus/RMWFix/variants/rmwfix0.c	5	0	0.05	0.03	0.01	52723712	4	0
pso-before	caat	sc	correct/litmus/RMWFix/variants/rmwfix0.c	5	0	0.05	0.03	0.01	52559872	4	0
pso-before	cat	sc	correct/data-structures/ms-queue-dynamic/variants/main0.c	5	0	0.06	0.04	0.02	53821440	2	6
pso-before	caat	sc	correct/data-structures/ms-queue-dynamic/variants/main0.c	5	0	0.06	0.04	0.01	53755904	2	6
pso-before	cat	sc	correct/data-structures/treiber-stack-dynamic/variants/main0.c	5	0	0.06	0.04	0.01	53460992	8	6
pso-before	caat	sc	correct/data-structures/treiber-stack-dynamic/variants/main0.c	5	0	0.06	0.03	0.01	53510144	8	6
