variant	model	repetition	task	copy_ns	offline_ns	peak_snapshot_bytes	max_stable_events	lazy_cycle_checks	lazy_edge_candidates	lazy_unique_edges	records
after	pso	r03	pthread-demo-datarace-3.yml	0	41957568	231304	262	80	930799	667018	1
after	pso	r03	queue.yml	0	647272785	145000	205	5918	8338574	5756739	1
after	pso	r03	queue_longer.yml	0	0	0	0	0	0	0	0
after	pso	r03	queue_ok.yml	0	10672402	534328	433	34	139619	112697	1
after	pso	r03	queue_ok_longer.yml	118387574	3577927529	44133960	8033	34	50040459	40080337	1
after	pso	r03	queue_ok_longest.yml	419494314	14341404737	174022760	16033	34	199599659	159839537	1
after	pso	r03	race-1_1-join.yml	0	69563	3304	16	6	62	49	1
after	pso	r03	race-1_2-join.yml	0	309616	5416	28	26	955	695	1
after	pso	r03	race-1_3-join.yml	0	336425	5416	28	26	955	695	1
after	pso	r03	race-2_1-container_of.yml	0	0	0	0	0	0	0	1
after	pso	r03	race-3_1-container_of-global.yml	0	0	0	0	0	0	0	1
after	pso	r03	race-4_1-thread_local_vars.yml	0	0	0	0	0	0	0	1
after	pso	r03	reorder_2.yml	0	352639343	29416	82	12692	2734116	2568326	1
after	pso	r03	singleton.yml	0	639432	8760	47	40	2993	2795	1
after	pso	r03	singleton_with-uninit-problems.yml	0	2068519	8936	48	130	10309	9591	1
after	pso	r03	stateful01-1.yml	0	434756	6824	36	20	1173	950	1
after	pso	r03	stateful01-2.yml	0	4040828	6824	36	246	13660	10628	1
after	pso	r03	szymanski.yml	0	8535535	5944	31	756	28914	23908	1
after	pso	r03	time_var_mutex.yml	0	595670	6296	33	44	2459	2195	1
after	pso	r03	triangular-1.yml	0	0	0	0	0	0	0	0
after	pso	r03	triangular-2.yml	0	10396916848	24488	68	493952	72496725	61348503	1
after	pso	r03	twostage_3.yml	0	6624284	36104	101	138	57584	53706	1
after	pso	r03	unwind2-1.yml	0	70012	3656	18	6	108	95	1
after	pso	r03	unwind2-100.yml	0	71633	3656	18	6	108	95	1
after	pso	r03	unwind3-1.yml	0	81468	3656	18	6	192	168	1
after	pso	r04	01b_inc.yml	0	185499	4184	21	10	428	326	1
after	pso	r04	02_inc_cas.yml	0	0	0	0	0	0	0	1
after	pso	r04	13-privatized_01-priv_nr_true.yml	0	560186	4360	22	20	896	696	1
after	pso	r04	13-privatized_18-first-reads_true.yml	0	305235	3304	16	20	420	363	1
after	pso	r04	13-privatized_18-first-reads_unknown_1_neg.yml	0	38933	1896	8	2	27	21	1
after	pso	r04	13-privatized_18-first-reads_unknown_2_pos.yml	0	38918	1896	8	2	27	21	1
after	pso	r04	13-privatized_19-publish-precision_true.yml	0	1002339	4536	23	66	2735	2225	1
after	pso	r04	13-privatized_19-publish-precision_unknown_1_neg.yml	0	0	0	0	0	0	0	1
after	pso	r04	13-privatized_19-publish-precision_unknown_1_pos.yml	0	40668	2776	13	2	43	35	1
after	pso	r04	13-privatized_19-publish-precision_unknown_2_neg.yml	0	41461	2776	13	2	43	35	1
after	pso	r04	13-privatized_19-publish-precision_unknown_2_pos.yml	0	0	0	0	0	0	0	1
