variant	model	program	repetition	status	wall_seconds	user_seconds	sys_seconds	peak_rss_kib	executions	blocked
after	tso	correct/data-structures/fcombiner-async/variants/main0.c	4	42	0.317494361	0.287636000	0.028976000	93440	0	0
before	tso	correct/data-structures/fcombiner-async/variants/main0.c	4	42	0.324347852	0.295367000	0.028537000	93824	0	0
after	pso	correct/litmus/SB/variants/sb0.c	4	0	0.059266325	0.026065000	0.032796000	92628	4	0
before	pso	correct/litmus/SB/variants/sb0.c	4	0	0.064787898	0.024045000	0.040414000	92444	4	0
after	pso	correct/litmus/RMWFix/variants/rmwfix0.c	4	0	0.070924942	0.025077000	0.045444000	92448	4	0
before	pso	correct/litmus/RMWFix/variants/rmwfix0.c	4	0	0.067657296	0.043792000	0.023452000	93208	4	0
after	pso	correct/data-structures/ms-queue-dynamic/variants/main0.c	4	0	0.092668497	0.056444000	0.035806000	93340	2	6
before	pso	correct/data-structures/ms-queue-dynamic/variants/main0.c	4	0	0.083404729	0.055576000	0.027494000	93584	2	6
after	pso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	4	0	0.092626877	0.062128000	0.030049000	93136	11	7
before	pso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	4	0	0.089781077	0.049653000	0.039707000	93140	11	7
after	pso	correct/data-structures/fcombiner-async/variants/main0.c	4	42	0.327068563	0.286091000	0.040558000	93140	0	0
before	pso	correct/data-structures/fcombiner-async/variants/main0.c	4	42	0.320044026	0.286944000	0.032744000	93504	0	0
before	sc	correct/litmus/SB/variants/sb0.c	5	0	0.069944490	0.037551000	0.032042000	92236	3	0
after	sc	correct/litmus/SB/variants/sb0.c	5	0	0.058434430	0.028186000	0.029948000	92960	3	0
before	sc	correct/litmus/RMWFix/variants/rmwfix0.c	5	0	0.065023422	0.028733000	0.035910000	93248	4	0
after	sc	correct/litmus/RMWFix/variants/rmwfix0.c	5	0	0.063357319	0.027913000	0.035122000	92112	4	0
before	sc	correct/data-structures/ms-queue-dynamic/variants/main0.c	5	0	0.073714973	0.046749000	0.026442000	92964	2	6
after	sc	correct/data-structures/ms-queue-dynamic/variants/main0.c	5	0	0.071131714	0.038074000	0.032672000	93044	2	6
before	sc	correct/data-structures/treiber-stack-dynamic/variants/main0.c	5	0	0.076501391	0.048197000	0.027689000	92576	8	6
after	sc	correct/data-structures/treiber-stack-dynamic/variants/main0.c	5	0	0.088115535	0.041004000	0.046698000	93284	8	6
before	sc	correct/data-structures/fcombiner-async/variants/main0.c	5	0	0.368802263	0.329622000	0.038748000	93768	24	16
after	sc	correct/data-structures/fcombiner-async/variants/main0.c	5	0	0.387376292	0.363046000	0.023996000	93196	24	16
before	tso	correct/litmus/SB/variants/sb0.c	5	0	0.057162727	0.024688000	0.032106000	91880	4	0
after	tso	correct/litmus/SB/variants/sb0.c	5	0	0.062896805	0.036196000	0.026319000	93208	4	0
before	tso	correct/litmus/RMWFix/variants/rmwfix0.c	5	0	0.071914007	0.028700000	0.042800000	92300	4	0
after	tso	correct/litmus/RMWFix/variants/rmwfix0.c	5	0	0.062864106	0.036298000	0.026162000	92992	4	0
before	tso	correct/data-structures/ms-queue-dynamic/variants/main0.c	5	0	0.078615156	0.053832000	0.024223000	92496	2	6
after	tso	correct/data-structures/ms-queue-dynamic/variants/main0.c	5	0	0.075026601	0.054096000	0.020481000	93628	2	6
before	tso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	5	0	0.077976164	0.040907000	0.036700000	93152	8	6
after	tso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	5	0	0.090453563	0.048157000	0.041821000	93084	8	6
before	tso	correct/data-structures/fcombiner-async/variants/main0.c	5	42	0.331396756	0.295084000	0.035878000	93736	0	0
after	tso	correct/data-structures/fcombiner-async/variants/main0.c	5	42	0.313127336	0.276447000	0.036256000	93000	0	0
before	pso	correct/litmus/SB/variants/sb0.c	5	0	0.058130396	0.045907000	0.011808000	92328	4	0
after	pso	correct/litmus/SB/variants/sb0.c	5	0	0.067361461	0.039849000	0.027177000	92744	4	0
before	pso	correct/litmus/RMWFix/variants/rmwfix0.c	5	0	0.059263257	0.031758000	0.027098000	92856	4	0
after	pso	correct/litmus/RMWFix/variants/rmwfix0.c	5	0	0.057020675	0.027727000	0.028959000	92860	4	0
before	pso	correct/data-structures/ms-queue-dynamic/variants/main0.c	5	0	0.088681660	0.048751000	0.039359000	92792	2	6
after	pso	correct/data-structures/ms-queue-dynamic/variants/main0.c	5	0	0.089480310	0.053951000	0.035089000	93628	2	6
before	pso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	5	0	0.091450672	0.070820000	0.020052000	92676	11	7
after	pso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	5	0	0.095667391	0.066445000	0.028665000	93464	11	7
before	pso	correct/data-structures/fcombiner-async/variants/main0.c	5	42	0.329495835	0.296947000	0.031947000	92520	0	0
after	pso	correct/data-structures/fcombiner-async/variants/main0.c	5	42	0.328772717	0.303024000	0.025216000	93216	0	0
after	sc	correct/litmus/SB/variants/sb0.c	6	0	0.075145143	0.054166000	0.020592000	93160	3	0
before	sc	correct/litmus/SB/variants/sb0.c	6	0	0.068368982	0.020487000	0.047622000	92168	3	0
after	sc	correct/litmus/RMWFix/variants/rmwfix0.c	6	0	0.061219792	0.031635000	0.029161000	93196	4	0
before	sc	correct/litmus/RMWFix/variants/rmwfix0.c	6	0	0.058606495	0.030784000	0.027427000	92740	4	0
after	sc	correct/data-structures/ms-queue-dynamic/variants/main0.c	6	0	0.073952671	0.057892000	0.015560000	92440	2	6
before	sc	correct/data-structures/ms-queue-dynamic/variants/main0.c	6	0	0.081423349	0.048470000	0.032511000	93848	2	6
after	sc	correct/data-structures/treiber-stack-dynamic/variants/main0.c	6	0	0.078877834	0.035799000	0.042821000	93488	8	6
before	sc	correct/data-structures/treiber-stack-dynamic/variants/main0.c	6	0	0.073989681	0.054039000	0.019508000	92920	8	6
after	sc	correct/data-structures/fcombiner-async/variants/main0.c	6	0	0.346713770	0.334042000	0.012081000	93436	24	16
before	sc	correct/data-structures/fcombiner-async/variants/main0.c	6	0	0.376580207	0.339502000	0.036423000	93200	24	16
after	tso	correct/litmus/SB/variants/sb0.c	6	0	0.068016147	0.024257000	0.043373000	92356	4	0
before	tso	correct/litmus/SB/variants/sb0.c	6	0	0.070323971	0.025802000	0.044020000	93208	4	0
after	tso	correct/litmus/RMWFix/variants/rmwfix0.c	6	0	0.069402554	0.039031000	0.030067000	92628	4	0
before	tso	correct/litmus/RMWFix/variants/rmwfix0.c	6	0	0.068194093	0.036342000	0.031485000	92452	4	0
after	tso	correct/data-structures/ms-queue-dynamic/variants/main0.c	6	0	0.088995227	0.040679000	0.047909000	93580	2	6
before	tso	correct/data-structures/ms-queue-dynamic/variants/main0.c	6	0	0.084967008	0.038618000	0.045940000	93288	2	6
after	tso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	6	0	0.092960322	0.068569000	0.023948000	93484	8	6
before	tso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	6	0	0.087743512	0.058698000	0.028597000	92920	8	6
after	tso	correct/data-structures/fcombiner-async/variants/main0.c	6	42	0.309593805	0.293029000	0.015987000	93604	0	0
before	tso	correct/data-structures/fcombiner-async/variants/main0.c	6	42	0.347261547	0.327160000	0.019676000	92988	0	0
after	pso	correct/litmus/SB/variants/sb0.c	6	0	0.071526672	0.038556000	0.032583000	92052	4	0
before	pso	correct/litmus/SB/variants/sb0.c	6	0	0.069981185	0.032501000	0.036991000	93004	4	0
after	pso	correct/litmus/RMWFix/variants/rmwfix0.c	6	0	0.060907701	0.026319000	0.034214000	91880	4	0
before	pso	correct/litmus/RMWFix/variants/rmwfix0.c	6	0	0.061401042	0.040797000	0.020265000	93240	4	0
after	pso	correct/data-structures/ms-queue-dynamic/variants/main0.c	6	0	0.083656568	0.049692000	0.033557000	92852	2	6
before	pso	correct/data-structures/ms-queue-dynamic/variants/main0.c	6	0	0.089984855	0.052154000	0.037380000	93128	2	6
after	pso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	6	0	0.097085991	0.056736000	0.039942000	93084	11	7
before	pso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	6	0	0.105746332	0.065555000	0.039870000	92704	11	7
after	pso	correct/data-structures/fcombiner-async/variants/main0.c	6	42	0.326066145	0.286072000	0.039377000	93988	0	0
before	pso	correct/data-structures/fcombiner-async/variants/main0.c	6	42	0.329529401	0.305614000	0.023412000	93000	0	0
before	sc	correct/litmus/SB/variants/sb0.c	7	0	0.063856929	0.036519000	0.026993000	93000	3	0
after	sc	correct/litmus/SB/variants/sb0.c	7	0	0.076574843	0.040388000	0.035746000	92776	3	0
before	sc	correct/litmus/RMWFix/variants/rmwfix0.c	7	0	0.064592291	0.036313000	0.027831000	93416	4	0
after	sc	correct/litmus/RMWFix/variants/rmwfix0.c	7	0	0.072817865	0.028569000	0.043607000	93208	4	0
before	sc	correct/data-structures/ms-queue-dynamic/variants/main0.c	7	0	0.080654049	0.055201000	0.025071000	93128	2	6
after	sc	correct/data-structures/ms-queue-dynamic/variants/main0.c	7	0	0.081304337	0.048645000	0.032067000	92720	2	6
before	sc	correct/data-structures/treiber-stack-dynamic/variants/main0.c	7	0	0.087405664	0.051699000	0.035283000	93120	8	6
after	sc	correct/data-structures/treiber-stack-dynamic/variants/main0.c	7	0	0.087919092	0.047966000	0.039505000	92924	8	6
before	sc	correct/data-structures/fcombiner-async/variants/main0.c	7	0	0.349913528	0.317023000	0.032219000	92952	24	16
after	sc	correct/data-structures/fcombiner-async/variants/main0.c	7	0	0.378552630	0.344786000	0.033206000	93604	24	16
before	tso	correct/litmus/SB/variants/sb0.c	7	0	0.062324088	0.033793000	0.028088000	92300	4	0
after	tso	correct/litmus/SB/variants/sb0.c	7	0	0.064700732	0.028416000	0.035869000	92796	4	0
before	tso	correct/litmus/RMWFix/variants/rmwfix0.c	7	0	0.058328523	0.023831000	0.034139000	91872	4	0
after	tso	correct/litmus/RMWFix/variants/rmwfix0.c	7	0	0.063159813	0.024410000	0.038490000	92744	4	0
