shape	outcome	mode	workers	status	elapsed_ns	gate	complete	fail_open	loads_reduced	verdict_sha256
000000	1000	rvf	1	0	50746083	native-fallback reason=non-atomic load instruction	16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1000	rvf	2	0	56871709	native-fallback reason=non-atomic load instruction	16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1001	baseline	1	0	54489917		16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1001	rvf	1	0	51962292	native-fallback reason=non-atomic load instruction	16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1001	rvf	2	0	53611625	native-fallback reason=non-atomic load instruction	16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1002	baseline	1	0	55478750		16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1002	rvf	1	0	53359959	native-fallback reason=non-atomic load instruction	16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1002	rvf	2	0	51633375	native-fallback reason=non-atomic load instruction	16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1010	baseline	1	0	59299792		16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1010	rvf	1	0	52368375	native-fallback reason=non-atomic load instruction	16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1010	rvf	2	0	52469208	native-fallback reason=non-atomic load instruction	16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1011	baseline	1	0	54474667		16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1011	rvf	1	0	52642416	native-fallback reason=non-atomic load instruction	16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1011	rvf	2	0	55035750	native-fallback reason=non-atomic load instruction	16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1012	baseline	1	0	53204083		16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1012	rvf	1	0	52579083	native-fallback reason=non-atomic load instruction	16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1012	rvf	2	0	51466208	native-fallback reason=non-atomic load instruction	16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1020	baseline	1	0	52200750		16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1020	rvf	1	0	54667458	native-fallback reason=non-atomic load instruction	16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1020	rvf	2	0	52408250	native-fallback reason=non-atomic load instruction	16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1021	baseline	1	0	54896625		16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1021	rvf	1	0	54323375	native-fallback reason=non-atomic load instruction	16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1021	rvf	2	0	52542292	native-fallback reason=non-atomic load instruction	16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1022	baseline	1	0	54275333		16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1022	rvf	1	0	52918041	native-fallback reason=non-atomic load instruction	16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1022	rvf	2	0	54683750	native-fallback reason=non-atomic load instruction	16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1100	baseline	1	0	52840709		16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1100	rvf	1	0	50552959	native-fallback reason=non-atomic load instruction	16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1100	rvf	2	0	52884125	native-fallback reason=non-atomic load instruction	16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1101	baseline	1	0	51856292		16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1101	rvf	1	0	50341084	native-fallback reason=non-atomic load instruction	16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1101	rvf	2	0	53165292	native-fallback reason=non-atomic load instruction	16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1102	baseline	1	0	51924708		16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1102	rvf	1	0	50910042	native-fallback reason=non-atomic load instruction	16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1102	rvf	2	0	51512042	native-fallback reason=non-atomic load instruction	16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1110	baseline	1	0	52629208		16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1110	rvf	1	0	50154708	native-fallback reason=non-atomic load instruction	16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1110	rvf	2	0	53975292	native-fallback reason=non-atomic load instruction	16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1111	baseline	1	0	52483750		16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1111	rvf	1	0	51330958	native-fallback reason=non-atomic load instruction	16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1111	rvf	2	0	55051500	native-fallback reason=non-atomic load instruction	16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1112	baseline	1	0	49647709		16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1112	rvf	1	0	51994750	native-fallback reason=non-atomic load instruction	16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1112	rvf	2	0	55682834	native-fallback reason=non-atomic load instruction	16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1120	baseline	1	42	56522666		0	0	0	9a4d10a79dfde562a0d30b92e3105a0f2c22902db1896f9908cb681305e13c35
000000	1120	rvf	1	42	54298875	native-fallback reason=non-atomic load instruction	0	0	0	9a4d10a79dfde562a0d30b92e3105a0f2c22902db1896f9908cb681305e13c35
000000	1120	rvf	2	42	50497250	native-fallback reason=non-atomic load instruction	0	0	0	9a4d10a79dfde562a0d30b92e3105a0f2c22902db1896f9908cb681305e13c35
000000	1121	baseline	1	0	51927625		16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1121	rvf	1	0	51201333	native-fallback reason=non-atomic load instruction	16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1121	rvf	2	0	59319916	native-fallback reason=non-atomic load instruction	16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1122	baseline	1	0	53962042		16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1122	rvf	1	0	51029833	native-fallback reason=non-atomic load instruction	16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1122	rvf	2	0	50592958	native-fallback reason=non-atomic load instruction	16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1200	baseline	1	0	51233500		16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1200	rvf	1	0	52336584	native-fallback reason=non-atomic load instruction	16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1200	rvf	2	0	51881459	native-fallback reason=non-atomic load instruction	16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1201	baseline	1	0	50678250		16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1201	rvf	1	0	51997916	native-fallback reason=non-atomic load instruction	16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1201	rvf	2	0	52730875	native-fallback reason=non-atomic load instruction	16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1202	baseline	1	0	56522083		16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1202	rvf	1	0	55398042	native-fallback reason=non-atomic load instruction	16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1202	rvf	2	0	54937625	native-fallback reason=non-atomic load instruction	16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1210	baseline	1	0	51322667		16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1210	rvf	1	0	54656292	native-fallback reason=non-atomic load instruction	16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1210	rvf	2	0	52387417	native-fallback reason=non-atomic load instruction	16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1211	baseline	1	0	53589958		16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1211	rvf	1	0	50212375	native-fallback reason=non-atomic load instruction	16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1211	rvf	2	0	51977916	native-fallback reason=non-atomic load instruction	16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1212	baseline	1	0	51192416		16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1212	rvf	1	0	50763958	native-fallback reason=non-atomic load instruction	16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1212	rvf	2	0	50944000	native-fallback reason=non-atomic load instruction	16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1220	baseline	1	42	51918666		2	0	0	9a4d10a79dfde562a0d30b92e3105a0f2c22902db1896f9908cb681305e13c35
000000	1220	rvf	1	42	50605000	native-fallback reason=non-atomic load instruction	2	0	0	9a4d10a79dfde562a0d30b92e3105a0f2c22902db1896f9908cb681305e13c35
000000	1220	rvf	2	42	55441167	native-fallback reason=non-atomic load instruction	2	0	0	9a4d10a79dfde562a0d30b92e3105a0f2c22902db1896f9908cb681305e13c35
000000	1221	baseline	1	0	63742916		16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1221	rvf	1	0	51123833	native-fallback reason=non-atomic load instruction	16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1221	rvf	2	0	51887375	native-fallback reason=non-atomic load instruction	16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1222	baseline	1	0	52757041		16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1222	rvf	1	0	52686250	native-fallback reason=non-atomic load instruction	16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1222	rvf	2	0	51706375	native-fallback reason=non-atomic load instruction	16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	2000	baseline	1	0	54862292		16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	2000	rvf	1	0	52979250	native-fallback reason=non-atomic load instruction	16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	2000	rvf	2	0	53504750	native-fallback reason=non-atomic load instruction	16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	2001	baseline	1	0	52006792		16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
