variant	model	repetition	task	copy_ns	offline_ns	peak_snapshot_bytes	max_stable_events	lazy_cycle_checks	lazy_edge_candidates	lazy_unique_edges	records
after	pso	r03	28-race_reach_45-escape_racing.yml	0	50820	4440	19	1	50	43	1
after	pso	r03	28-race_reach_46-escape_racefree.yml	0	598713	6520	29	28	1112	975	1
after	pso	r03	29_conditionals_vs.yml	0	0	0	0	0	0	0	1
after	pso	r03	36-apron_11-traces-max-simple_true.yml	0	205175	3816	16	10	183	161	1
after	pso	r03	36-apron_16-traces-unprot2_true.yml	0	0	0	0	0	0	0	1
after	pso	r03	36-apron_17-traces-rpb-litmus_unknown_1_neg.yml	0	0	0	0	0	0	0	1
after	pso	r03	36-apron_21-traces-cluster-based_true.yml	0	2816036	7768	35	86	3813	3456	1
after	pso	r03	36-apron_22-traces-write-centered-vs-meet-mutex_true_no-overflow.yml	0	0	0	0	0	0	0	1
after	pso	r03	36-apron_41-threadenter-no-locals_unknown_1_pos.yml	0	0	0	0	0	0	0	1
after	pso	r03	43_NetBSD_sysmon_power_sliced.yml	0	0	0	0	0	0	0	1
after	pso	r03	45_monabsex1_vs.yml	0	100791	3816	16	4	112	82	1
after	pso	r03	46_monabsex2_vs.yml	0	280049	4856	21	9	424	308	1
after	pso	r03	48_ticket_lock_low_contention_vs-pthread.yml	0	38124	2984	12	1	14	12	1
after	pso	r03	48_ticket_lock_low_contention_vs.yml	0	155292	5688	25	4	304	266	1
after	pso	r03	butterfly.yml	0	16038421049	13176	61	347445	46843741	46404922	1
after	pso	r03	circular_buffer_bad.yml	0	13366494	37576	89	238	74063	55994	1
after	pso	r03	circular_buffer_ok.yml	0	0	0	0	0	0	0	0
after	pso	r03	dekker-unfair.yml	0	1091211	7768	35	37	3775	3554	1
after	pso	r03	dekker.yml	0	1075633	7768	35	35	3630	3418	1
after	pso	r03	exponential-nondet.yml	0	0	0	0	0	0	0	1
after	pso	r03	fib_safe-5.yml	0	0	0	0	0	0	0	0
after	pso	r03	fib_safe-6.yml	0	0	0	0	0	0	0	0
after	pso	r03	fib_unsafe-5.yml	0	10188778080	202856	243	48263	44145162	36633636	1
after	pso	r03	fib_unsafe-6.yml	0	0	0	0	0	0	0	0
after	pso	r03	fib_unsafe-7.yml	0	0	0	0	0	0	0	0
after	pso	r03	lazy01.yml	0	454463	6520	29	18	893	745	1
after	pso	r03	pthread-demo-datarace-3.yml	0	35854657	273224	262	40	476799	346239	1
after	pso	r03	queue.yml	0	588086941	171240	205	2959	3399992	2311376	1
after	pso	r03	queue_longer.yml	0	0	0	0	0	0	0	0
after	pso	r03	queue_ok.yml	0	15230303	631320	433	17	36723	32836	1
after	pso	r03	queue_ok_longer.yml	230055384	3034153887	76523016	8033	17	9838823	8395116	1
after	pso	r03	queue_ok_longest.yml	1078866077	12921008890	302799816	16033	17	38876823	33109516	1
after	pso	r03	race-1_1-join.yml	0	65716	3816	16	3	36	28	1
after	pso	r03	race-1_2-join.yml	0	303563	6312	28	13	491	379	1
after	pso	r03	race-1_3-join.yml	0	320145	6312	28	13	491	379	1
after	pso	r03	race-2_1-container_of.yml	0	0	0	0	0	0	0	1
after	pso	r03	race-3_1-container_of-global.yml	0	0	0	0	0	0	0	1
after	pso	r03	race-4_1-thread_local_vars.yml	0	0	0	0	0	0	0	1
after	pso	r03	reorder_2.yml	0	372455688	34664	82	6346	2072872	2003170	1
after	pso	r03	singleton.yml	0	652144	10264	47	20	2444	2345	1
after	pso	r03	singleton_with-uninit-problems.yml	0	2118345	10472	48	65	8011	7652	1
after	pso	r03	stateful01-1.yml	0	431326	7976	36	10	773	640	1
after	pso	r03	stateful01-2.yml	0	3858573	7976	36	123	8605	6662	1
after	pso	r03	szymanski.yml	0	8499874	6936	31	378	21489	18284	1
after	pso	r03	time_var_mutex.yml	0	804785	7352	33	22	2008	1821	1
after	pso	r03	triangular-1.yml	0	0	0	0	0	0	0	0
after	pso	r03	triangular-2.yml	0	10022008459	28840	68	246976	43977622	38208076	1
after	pso	r03	twostage_3.yml	0	6624134	42568	101	69	43965	42248	1
after	pso	r03	unwind2-1.yml	0	79837	4232	18	3	72	67	1
after	pso	r03	unwind2-100.yml	0	72470	4232	18	3	72	67	1
after	pso	r03	unwind3-1.yml	0	85179	4232	18	3	109	102	1
