task	expected	model	method	threads	repetition	status	verdict	walltime_seconds	cputime_seconds	memory_bytes	executions	blocked
race-1_1-join.yml	true	sc	cat	2	5	true	true	0.06458205601666123	0.060809359	26025984	1	
race-1_3-join.yml	false	sc	cat	2	5	false(unreach-call)	false	0.06302192300790921	0.058436234	26124288	1	1
race-1_2-join.yml	false	sc	cat	2	5	false(unreach-call)	false	0.06716165895340964	0.062098882	26116096	1	1
race-4_1-thread_local_vars.yml	true	sc	cat	2	5	true	true	0.07020695199025795	0.063962905	26148864	0	1
race-2_1-container_of.yml	true	sc	cat	2	5	true	true	0.06558765104273334	0.06246197	26189824	1	
race-3_1-container_of-global.yml	true	sc	cat	2	5	true	true	0.06948091398226097	0.065754816	26214400	1	
13-privatized_66-mine-W-init_true.yml	true	sc	genmc	2	1	true	true	0.06707309401826933	0.06612792	25645056	1	
36-apron_41-threadenter-no-locals_unknown_1_pos.yml	false	sc	genmc	2	1	false(unreach-call)	false	0.06567482597893104	0.061016433	25690112	0	
36-apron_16-traces-unprot2_true.yml	true	sc	genmc	2	1	true	true	0.0651247639907524	0.062998793	25640960	1	
13-privatized_57-singlethreaded-unlock_true.yml	true	sc	genmc	2	1	true	true	0.0651305039646104	0.061427067	25649152	1	
13-privatized_47-refine-protected2_true.yml	true	sc	genmc	2	1	true	true	0.06501941598253325	0.060678287	25731072	2	
13-privatized_46-refine-protected1_true.yml	true	sc	genmc	2	1	true	true	0.06601512600900605	0.062439648	25640960	1	
36-apron_11-traces-max-simple_true.yml	true	sc	genmc	2	1	true	true	0.06604252604302019	0.062124159	25640960	2	
13-privatized_41-traces-ex-7_unknown_1_pos.yml	false	sc	genmc	2	1	false(unreach-call)	false	0.0636262180050835	0.062008575	25743360	0	1
13-privatized_41-traces-ex-7_unknown_1_neg.yml	false	sc	genmc	2	1	false(unreach-call)	false	0.0657827319810167	0.063179017	25759744	0	
13-privatized_40-traces-ex-6_true.yml	true	sc	genmc	2	1	true	true	0.0637624739902094	0.060748143	25661440	1	1
13-privatized_58-singlethreaded-lock_true.yml	true	sc	genmc	2	1	true	true	0.06362722901394591	0.062492899	25747456	1	
13-privatized_44-traces-mine2_true.yml	true	sc	genmc	2	1	true	true	0.06334598403191194	0.060306878	25726976	1	1
13-privatized_18-first-reads_unknown_2_pos.yml	false	sc	genmc	2	1	false(unreach-call)	false	0.07248065999010578	0.067375798	25698304	0	1
13-privatized_18-first-reads_unknown_1_neg.yml	false	sc	genmc	2	1	false(unreach-call)	false	0.06848272302886471	0.068244457	25767936	0	1
13-privatized_36-traces-ex-3_true.yml	true	sc	genmc	2	1	true	true	0.06437926698708907	0.061090368	25645056	3	
13-privatized_18-first-reads_true.yml	true	sc	genmc	2	1	true	true	0.06446127302478999	0.059155299	25640960	2	
13-privatized_35-traces-ex-2_true.yml	true	sc	genmc	2	1	true	true	0.07100481796078384	0.069034679	25636864	2	2
13-privatized_37-traces-ex-4_true.yml	true	sc	genmc	2	1	true	true	0.05403266998473555	0.053155204	25751552	2	
13-privatized_38-traces-ex-4-switch_true.yml	true	sc	genmc	2	1	true	true	0.06670308503089473	0.062272939	25628672	2	2
13-privatized_19-publish-precision_unknown_1_pos.yml	false	sc	genmc	2	1	false(unreach-call)	false	0.06635927699971944	0.060963126	25755648	1	
13-privatized_19-publish-precision_unknown_2_pos.yml	false	sc	genmc	2	1	false(unreach-call)	false	0.06227899802615866	0.061467181	25722880	0	
13-privatized_19-publish-precision_unknown_1_neg.yml	false	sc	genmc	2	1	false(unreach-call)	false	0.05727409099927172	0.054719314	25661440	0	
13-privatized_19-publish-precision_unknown_2_neg.yml	false	sc	genmc	2	1	false(unreach-call)	false	0.05891456198878586	0.057972081	25817088	1	
13-privatized_45-traces-per-global-and-current-lock-mine-incomparable_true.yml	true	sc	genmc	2	1	true	true	0.06417797500034794	0.061213476	25731072	2	2
13-privatized_01-priv_nr_true.yml	true	sc	genmc	2	1	true	true	0.0727275310200639	0.071814386	25812992	2	
13-privatized_19-publish-precision_true.yml	true	sc	genmc	2	1	true	true	0.06567755102878436	0.061414937	25772032	3	
13-privatized_42-traces-ex-mini_true.yml	true	sc	genmc	2	1	true	true	0.06851987901609391	0.06276619	25665536	2	
13-privatized_33-traces-v-matters_true.yml	true	sc	genmc	2	1	true	true	0.06369212799472734	0.062945658	25690112	1	2
13-privatized_25-struct_nr_true.yml	true	sc	genmc	2	1	true	true	0.05728006496792659	0.054431712	25821184	2	
13-privatized_69-refine-protected-loop-interval_true.yml	true	sc	genmc	2	1	true	true	0.06310295796720311	0.056225563	25714688	0	1
36-apron_17-traces-rpb-litmus_unknown_1_neg.yml	false	sc	genmc	2	1	false(unreach-call)	false	0.07879379799123853	0.074614674	25673728	0	
