task	status	category	interpretation	cputime	walltime	memory	executions	blocked	xml
c/weaver/test-easy10.wvr.yml	true	correct	benchmark-consistent	0.065365908s	0.07595239696092904s	25272320B			shard1/fair-census-shard1.2026-07-15_17-08-25.results.genmc-fair-sc.unreach-call.xml.bz2
c/weaver/parallel-bakery-2.wvr.yml	true	correct	benchmark-consistent	0.06569958s	0.07544431200949475s	25284608B			shard1/fair-census-shard1.2026-07-15_17-08-25.results.genmc-fair-sc.unreach-call.xml.bz2
c/weaver/popl20-mult-equiv.wvr.yml	TIMEOUT	error	unknown	10.998272029s	11.023887609015219s	65720320B			shard1/fair-census-shard1.2026-07-15_17-08-25.results.genmc-fair-sc.unreach-call.xml.bz2
c/weaver/popl20-proofs-counter-add-4-semi-Q67.wvr.yml	true	correct	benchmark-consistent	0.068329164s	0.07286250201286748s	25296896B			shard1/fair-census-shard1.2026-07-15_17-08-25.results.genmc-fair-sc.unreach-call.xml.bz2
c/weaver/chl-time-symm.wvr.yml	true	correct	benchmark-consistent	0.066951496s	0.0820989339845255s	25354240B			shard1/fair-census-shard1.2026-07-15_17-08-25.results.genmc-fair-sc.unreach-call.xml.bz2
c/weaver/bench-exp3x3.wvr.yml	true	correct	benchmark-consistent	0.070630259s	0.07662499998696148s	25321472B			shard1/fair-census-shard1.2026-07-15_17-08-25.results.genmc-fair-sc.unreach-call.xml.bz2
c/weaver/popl20-channel-sum.wvr.yml	true	correct	benchmark-consistent	0.065978951s	0.07445951399859041s	25247744B			shard1/fair-census-shard1.2026-07-15_17-08-25.results.genmc-fair-sc.unreach-call.xml.bz2
c/weaver/popl20-bad-counter-queue.wvr.yml	true	wrong	conditional-input-miss	0.064856705s	0.07501217600656673s	25272320B			shard1/fair-census-shard1.2026-07-15_17-08-25.results.genmc-fair-sc.unreach-call.xml.bz2
c/weaver/test-context1.wvr.yml	true	correct	benchmark-consistent	0.066536724s	0.07611490302952006s	25268224B			shard1/fair-census-shard1.2026-07-15_17-08-25.results.genmc-fair-sc.unreach-call.xml.bz2
c/weaver/chl-match-symm.wvr.yml	true	correct	benchmark-consistent	0.063908342s	0.06937454000581056s	25288704B			shard1/fair-census-shard1.2026-07-15_17-08-25.results.genmc-fair-sc.unreach-call.xml.bz2
c/weaver/popl20-more-sorted.wvr.yml	true	correct	benchmark-consistent	0.065715248s	0.07658358698245138s	25296896B			shard1/fair-census-shard1.2026-07-15_17-08-25.results.genmc-fair-sc.unreach-call.xml.bz2
c/weaver/parallel-ticket-5.wvr.yml	true	correct	benchmark-consistent	0.068902079s	0.07688752398826182s	25280512B			shard1/fair-census-shard1.2026-07-15_17-08-25.results.genmc-fair-sc.unreach-call.xml.bz2
c/weaver/chl-exp-term-symm.wvr.yml	true	correct	benchmark-consistent	0.065098256s	0.0733865299844183s	25354240B			shard1/fair-census-shard1.2026-07-15_17-08-25.results.genmc-fair-sc.unreach-call.xml.bz2
c/weaver/popl20-more-array-sum-alt.wvr.yml	true	wrong	conditional-input-miss	0.073205444s	0.0812058579758741s	25346048B			shard1/fair-census-shard1.2026-07-15_17-08-25.results.genmc-fair-sc.unreach-call.xml.bz2
c/weaver/unroll-3.wvr.yml	true	correct	benchmark-consistent	0.069399046s	0.0732748790178448s	25321472B			shard1/fair-census-shard1.2026-07-15_17-08-25.results.genmc-fair-sc.unreach-call.xml.bz2
c/weaver/chl-chromosome-opt-symm.wvr.yml	true	correct	benchmark-consistent	0.070776159s	0.0783561029820703s	25317376B			shard1/fair-census-shard1.2026-07-15_17-08-25.results.genmc-fair-sc.unreach-call.xml.bz2
c/weaver/popl20-more-min-array.wvr.yml	true	correct	benchmark-consistent	0.074214527s	0.08057308400748298s	25358336B			shard1/fair-census-shard1.2026-07-15_17-08-25.results.genmc-fair-sc.unreach-call.xml.bz2
