variant	model	repetition	task	status	category	cpu_s	wall_s	memory_bytes	executions	snapshot_bytes	base_bytes	lazy_checks	lazy_candidates
before	sc	r02	c/goblint-regression/13-privatized_35-traces-ex-2_true.yml	true	correct	0.055214395	0.06395632599014789	25825280.0	2	4136	1280	0	0
before	sc	r02	c/goblint-regression/13-privatized_37-traces-ex-4_true.yml	true	correct	0.072534976	0.08188515098299831	25882624.0	2	3136	960	0	0
before	sc	r02	c/goblint-regression/13-privatized_38-traces-ex-4-switch_true.yml	true	correct	0.067558068	0.07344588194973767	25821184.0	2	4136	1280	0	0
before	sc	r02	c/goblint-regression/13-privatized_19-publish-precision_unknown_1_pos.yml	false(unreach-call)	correct	0.071703273	0.0751906119985506	25845760.0	0	2736	832	0	0
before	sc	r02	c/goblint-regression/13-privatized_19-publish-precision_unknown_2_pos.yml	false(unreach-call)	correct	0.073061173	0.07553547597490251	25817088.0	0	0	0	0	0
before	sc	r02	c/goblint-regression/13-privatized_19-publish-precision_unknown_1_neg.yml	false(unreach-call)	correct	0.067623808	0.07142558798659593	25796608.0	0	0	0	0	0
before	sc	r02	c/goblint-regression/13-privatized_19-publish-precision_unknown_2_neg.yml	false(unreach-call)	correct	0.069527004	0.07478131505195051	25804800.0	0	2736	832	0	0
before	sc	r02	c/goblint-regression/13-privatized_45-traces-per-global-and-current-lock-mine-incomparable_true.yml	true	correct	0.067422998	0.07237258704844862	25878528.0	2	4136	1280	0	0
before	sc	r02	c/goblint-regression/13-privatized_01-priv_nr_true.yml	true	correct	0.064509364	0.06724511994980276	25825280.0	2	3336	1024	0	0
before	sc	r02	c/goblint-regression/13-privatized_19-publish-precision_true.yml	true	correct	0.065987028	0.07599422603379935	25858048.0	3	3736	1152	0	0
before	sc	r02	c/goblint-regression/13-privatized_42-traces-ex-mini_true.yml	true	correct	0.066112305	0.07300811097957194	25829376.0	2	3936	1216	0	0
before	sc	r02	c/goblint-regression/13-privatized_33-traces-v-matters_true.yml	true	correct	0.073354475	0.0762901670532301	25747456.0	1	3936	1216	0	0
before	sc	r02	c/goblint-regression/13-privatized_25-struct_nr_true.yml	true	correct	0.064396885	0.06876512500457466	25853952.0	2	3336	1024	0	0
before	sc	r02	c/goblint-regression/13-privatized_69-refine-protected-loop-interval_true.yml	true	correct	0.071167309	0.07517697394359857	25853952.0	0	0	0	0	0
before	sc	r02	c/goblint-regression/36-apron_17-traces-rpb-litmus_unknown_1_neg.yml	false(unreach-call)	correct	0.069206596	0.07388197793625295	25755648.0	0	0	0	0	0
before	sc	r02	c/goblint-regression/13-privatized_31-traces-mine-vs-mutex_true.yml	true	correct	0.064686882	0.06799795490223914	25841664.0	4	5136	1600	0	0
before	sc	r02	c/goblint-regression/13-privatized_20-publish-regression_true.yml	true	correct	0.063786338	0.06932986807078123	25812992.0	2	2536	768	0	0
before	sc	r02	c/goblint-regression/13-privatized_30-traces-oplus-vs-meet_true.yml	true	correct	0.068094386	0.07600461994297802	25882624.0	2	4336	1344	0	0
before	sc	r02	c/goblint-regression/13-privatized_32-traces-mine-vs-oplus-vs-meet_true.yml	true	correct	0.07034432	0.07400124799460173	25845760.0	3	6136	1920	0	0
before	sc	r02	c/goblint-regression/13-privatized_34-traces-minepp-L-needs-to-be-um_true.yml	true	correct	0.067468455	0.07515102904289961	25878528.0	1	2936	896	0	0
before	sc	r02	c/goblint-regression/13-privatized_68-pfscan_protected_loop_minimal_interval_true.yml	true	correct	0.071460298	0.07915275706909597	25866240.0	0	0	0	0	0
before	sc	r02	c/goblint-regression/13-privatized_29-multiple-protecting2-vesal_true.yml	true	correct	0.069764646	0.07432055403478444	25812992.0	4	6336	1984	0	0
