model	repetition	task	before_status	after_status	before_category	after_category	common_terminal	before_cpu_s	after_cpu_s	before_wall_s	after_wall_s	before_memory_bytes	after_memory_bytes	before_executions	after_executions	before_snapshot_bytes	after_snapshot_bytes	before_base_bytes	after_base_bytes	before_lazy_checks	after_lazy_checks	before_lazy_candidates	after_lazy_candidates	terminal_verdict_match	execution_match	candidate_match	lazy_check_match	snapshot_match	base_match	cpu_ratio	wall_ratio	memory_ratio
sc	r01	c/ldv-races/race-1_2-join.yml	false(unreach-call)	false(unreach-call)	correct	correct	True	0.069266423	0.068199037	0.07508946093730628	0.07768955000210553	26091520.0	26083328.0											True	True	True	True	True	True	0.9845901382838841	1.0346265512142925	0.9996860282574568
sc	r01	c/ldv-races/race-1_3-join.yml	false(unreach-call)	false(unreach-call)	correct	correct	True	0.071236143	0.070858489	0.07601789094042033	0.07727542100474238	26091520.0	26087424.0											True	True	True	True	True	True	0.9946985619364597	1.0165425539799262	0.9998430141287284
sc	r01	c/ldv-races/race-2_1-container_of.yml	true	true	correct	correct	True	0.068877548	0.064473714	0.07628404092974961	0.07414650300052017	26161152.0	26148864.0											True	True	True	True	True	True	0.9360628517147562	0.9719792252327337	0.9995302959135745
sc	r01	c/ldv-races/race-3_1-container_of-global.yml	true	true	correct	correct	True	0.073654159	0.064890981	0.07737961108796299	0.07975176500622183	26083328.0	26083328.0											True	True	True	True	True	True	0.8810226317294588	1.0306560589398963	1.0
sc	r01	c/ldv-races/race-4_1-thread_local_vars.yml	true	true	correct	correct	True	0.070787256	0.068676851	0.07803843391593546	0.07970373099669814	26107904.0	26193920.0											True	True	True	True	True	True	0.970186653371618	1.021339447720806	1.0032946344524631
sc	r01	c/pthread-C-DAC/pthread-demo-datarace-3.yml	false(unreach-call)	false(unreach-call)	correct	correct	True	0.123218907	0.121836316	0.1325909160077572	0.1369647280080244	25825280.0	25964544.0											True	True	True	True	True	True	0.9887793924352859	1.0329872673932754	1.0053925455987311
sc	r01	c/pthread-atomic/dekker-unfair.yml	true	true	correct	correct	True	0.066855744	0.070532748	0.07279226405080408	0.07429196708835661	25919488.0	25821184.0											True	True	True	True	True	True	1.0549990738267756	1.0206025057347556	0.9962073324905183
sc	r01	c/pthread-atomic/dekker.yml	true	true	correct	correct	True	0.072792799	0.061279626	0.07579297502525151	0.06895908294245601	25821184.0	25862144.0											True	True	True	True	True	True	0.8418363745018239	0.9098347560506934	1.0015862944162437
sc	r01	c/pthread-atomic/szymanski.yml	true	true	correct	correct	True	0.075526698	0.068274774	0.07935938204172999	0.07549343397840858	25821184.0	25923584.0											True	True	True	True	True	True	0.9039819799880566	0.9512855573738143	1.0039657360406091
sc	r01	c/pthread-atomic/time_var_mutex.yml	true	true	correct	correct	True	0.076788254	0.069849114	0.08419387298636138	0.07580207998398691	25948160.0	25874432.0											True	True	True	True	True	True	0.9096327935780387	0.9003277470828089	0.9971586424625098
sc	r01	c/pthread-deagle/circular_buffer_bad.yml	false(unreach-call)	false(unreach-call)	correct	correct	True	0.076637675	0.072275904	0.09938830009195954	0.0854887570021674	25915392.0	25931776.0											True	True	True	True	True	True	0.9430858125589013	0.8601491012832344	1.0006322111585269
sc	r01	c/pthread-deagle/circular_buffer_ok.yml	true	true	correct	correct	True	3.173803649	3.131486825	3.187682527001016	3.1453978460049257	25956352.0	25952256.0											True	True	True	True	True	True	0.9866668424767446	0.9867349773266563	0.9998421966230078
sc	r01	c/pthread-ext/01b_inc.yml	true	true	correct	correct	True	0.069589399	0.067125528	0.07782104995567352	0.07194232509937137	25894912.0	25767936.0											True	True	True	True	True	True	0.9645941618205384	0.9244584227577162	0.9950964884530212
sc	r01	c/pthread-ext/02_inc_cas.yml	true	true	correct	correct	True	0.068984787	0.071647763	0.07267849810887128	0.07472686702385545	25874432.0	25763840.0											True	True	True	True	True	True	1.038602366054997	1.028183974191593	0.9957258192179832
