task	status	category	interpretation	cputime	walltime	memory	executions	blocked	xml
c/pthread-wmm/safe001_power.oepc.yml	false(unreach-call)	correct	benchmark-consistent	0.089958245s	0.09748476196546108s	26517504B			shard1/fair-census-shard1.2026-07-15_17-20-42.results.genmc-fair-sc.unreach-call.xml.bz2
c/pthread-wmm/safe000_power.oepc.yml	false(unreach-call)	correct	benchmark-consistent	0.08790452s	0.09801615396281704s	26411008B			shard1/fair-census-shard1.2026-07-15_17-20-42.results.genmc-fair-sc.unreach-call.xml.bz2
c/pthread/sync01.yml	ERROR (compilation)	error	unknown	0.060009538s	0.07100984698627144s	25452544B			shard1/fair-census-shard1.2026-07-15_17-20-42.results.genmc-fair-sc.unreach-call.xml.bz2
c/pthread-wmm/safe025_power.yml	false(unreach-call)	correct	benchmark-consistent	0.087265382s	0.09596130298450589s	26476544B			shard1/fair-census-shard1.2026-07-15_17-20-42.results.genmc-fair-sc.unreach-call.xml.bz2
c/goblint-regression/28-race_reach_08-cond_racefree.yml	OUT OF MEMORY	error	unknown	24.060087011s	24.158133823017124s	3999997952B			shard1/fair-census-shard1.2026-07-15_17-20-42.results.genmc-fair-sc.unreach-call.xml.bz2
c/goblint-regression/28-race_reach_70-funloop_racefree.yml	TIMEOUT	error	unknown	60.970108894s	61.15222199400887s	2335531008B			shard1/fair-census-shard1.2026-07-15_17-20-42.results.genmc-fair-sc.unreach-call.xml.bz2
c/pthread/stack_longer-2.yml	true	correct	benchmark-consistent	2.581355503s	2.6465272500063293s	580882432B			shard1/fair-census-shard1.2026-07-15_17-20-42.results.genmc-fair-sc.unreach-call.xml.bz2
c/pthread/stack-2.yml	true	wrong	conditional-input-miss	0.068508735s	0.07925097597762942s	25837568B			shard1/fair-census-shard1.2026-07-15_17-20-42.results.genmc-fair-sc.unreach-call.xml.bz2
c/pthread/stack_longest-1.yml	true	wrong	conditional-input-miss	16.323594222s	16.59947908401955s	3700559872B			shard1/fair-census-shard1.2026-07-15_17-20-42.results.genmc-fair-sc.unreach-call.xml.bz2
c/goblint-regression/28-race_reach_71-funloop_racing.yml	TIMEOUT	error	unknown	61.010495009s	61.15960451198043s	2366533632B			shard1/fair-census-shard1.2026-07-15_17-20-42.results.genmc-fair-sc.unreach-call.xml.bz2
c/goblint-regression/28-race_reach_76-tricky_address3_racefree.yml	true	correct	benchmark-consistent	1.645776898s	1.749403270019684s	25956352B			shard1/fair-census-shard1.2026-07-15_17-20-42.results.genmc-fair-sc.unreach-call.xml.bz2
c/goblint-regression/28-race_reach_72-funloop_hard_racing.yml	TIMEOUT	error	unknown	61.060520236s	61.17421463603387s	2428121088B			shard1/fair-census-shard1.2026-07-15_17-20-42.results.genmc-fair-sc.unreach-call.xml.bz2
c/pthread-wmm/safe035_power.yml	TIMEOUT	error	unknown	60.867234039s	61.011886207037605s	26603520B			shard1/fair-census-shard1.2026-07-15_17-20-42.results.genmc-fair-sc.unreach-call.xml.bz2
c/pthread/queue_ok.yml	true	correct	benchmark-consistent	0.069969578s	0.07866747898515314s	25956352B			shard1/fair-census-shard1.2026-07-15_17-20-42.results.genmc-fair-sc.unreach-call.xml.bz2
c/pthread/queue_ok_longest.yml	true	correct	benchmark-consistent	0.181360164s	0.19111795898061246s	25878528B			shard1/fair-census-shard1.2026-07-15_17-20-42.results.genmc-fair-sc.unreach-call.xml.bz2
c/pthread/queue_longest.yml	OUT OF MEMORY	error	unknown	39.55428159s	39.63624207105022s	3999997952B			shard1/fair-census-shard1.2026-07-15_17-20-42.results.genmc-fair-sc.unreach-call.xml.bz2
c/pthread-wmm/mix014_tso.oepc.yml	TIMEOUT	error	unknown	60.787477282s	61.01242046401603s	26615808B			shard1/fair-census-shard1.2026-07-15_17-20-42.results.genmc-fair-sc.unreach-call.xml.bz2
c/pthread-wmm/mix008_tso.oepc.yml	TIMEOUT	error	unknown	60.878582816s	61.012550043000374s	26648576B			shard1/fair-census-shard1.2026-07-15_17-20-42.results.genmc-fair-sc.unreach-call.xml.bz2
c/pthread-lit/sssc12.yml	true	correct	benchmark-consistent	0.06414346s	0.07672798697603866s	25776128B			shard1/fair-census-shard1.2026-07-15_17-20-42.results.genmc-fair-sc.unreach-call.xml.bz2
c/goblint-regression/28-race_reach_78-equ_racing.yml	OUT OF MEMORY	error	unknown	25.193570476s	25.289519214013126s	3999997952B			shard1/fair-census-shard1.2026-07-15_17-20-42.results.genmc-fair-sc.unreach-call.xml.bz2
c/goblint-regression/28-race_reach_81-list_racing.yml	OUT OF MEMORY	error	unknown	16.561922761s	16.943921774975024s	3999997952B			shard1/fair-census-shard1.2026-07-15_17-20-42.results.genmc-fair-sc.unreach-call.xml.bz2
c/goblint-regression/28-race_reach_87-lists_racefree.yml	true	correct	benchmark-consistent	22.943275997s	23.04133409203496s	743616512B			shard1/fair-census-shard1.2026-07-15_17-20-42.results.genmc-fair-sc.unreach-call.xml.bz2
c/goblint-regression/28-race_reach_86-lists_racing.yml	true	wrong	conditional-input-miss	24.598847272s	24.68204202799825s	745582592B			shard1/fair-census-shard1.2026-07-15_17-20-42.results.genmc-fair-sc.unreach-call.xml.bz2
c/goblint-regression/28-race_reach_92-evilcollapse_racing.yml	true	wrong	conditional-input-miss	1.6423137s	1.6518597319955006s	25976832B			shard1/fair-census-shard1.2026-07-15_17-20-42.results.genmc-fair-sc.unreach-call.xml.bz2
c/pthread-race-challenges/thread-local-pthread-value.yml	ERROR (compilation)	error	unknown	0.060904276s	0.06937533302698284s	25296896B			shard1/fair-census-shard1.2026-07-15_17-20-42.results.genmc-fair-sc.unreach-call.xml.bz2
