task_log	before_max_history_base_bytes	after_max_history_base_bytes	before_retained_snapshot_equivalent_bytes	after_retained_snapshot_equivalent_bytes	before_peak_snapshot_equivalent_bytes	after_peak_snapshot_equivalent_bytes
caat-sc.profile.13-privatized_45-traces-per-global-and-current-lock-mine-incomparable_true.yml.log	1280	0	4472	0	4472	0
caat-sc.profile.13-privatized_46-refine-protected1_true.yml.log	0	0	0	0	0	0
caat-sc.profile.13-privatized_47-refine-protected2_true.yml.log	768	0	2744	0	2744	0
caat-sc.profile.13-privatized_57-singlethreaded-unlock_true.yml.log	0	0	0	0	0	0
caat-sc.profile.13-privatized_58-singlethreaded-lock_true.yml.log	0	0	0	0	0	0
caat-sc.profile.13-privatized_66-mine-W-init_true.yml.log	0	0	0	0	0	0
caat-sc.profile.13-privatized_68-pfscan_protected_loop_minimal_interval_true.yml.log	0	0	0	0	0	0
caat-sc.profile.13-privatized_69-refine-protected-loop-interval_true.yml.log	0	0	0	0	0	0
caat-sc.profile.14_spin2003.yml.log	0	0	0	0	0	0
caat-sc.profile.28-race_reach_21-deref_read_racing.yml.log	0	0	0	0	0	0
caat-sc.profile.28-race_reach_45-escape_racing.yml.log	1216	0	4256	0	4256	0
caat-sc.profile.28-race_reach_46-escape_racefree.yml.log	1088	0	3824	0	3824	0
caat-sc.profile.29_conditionals_vs.yml.log	0	0	0	0	0	0
caat-sc.profile.36-apron_11-traces-max-simple_true.yml.log	768	0	2744	0	2744	0
caat-sc.profile.36-apron_16-traces-unprot2_true.yml.log	0	0	0	0	0	0
caat-sc.profile.36-apron_17-traces-rpb-litmus_unknown_1_neg.yml.log	0	0	0	0	0	0
caat-sc.profile.36-apron_21-traces-cluster-based_true.yml.log	2240	0	7712	0	7712	0
caat-sc.profile.36-apron_22-traces-write-centered-vs-meet-mutex_true_no-overflow.yml.log	0	0	0	0	0	0
caat-sc.profile.36-apron_41-threadenter-no-locals_unknown_1_pos.yml.log	0	0	0	0	0	0
caat-sc.profile.43_NetBSD_sysmon_power_sliced.yml.log	0	0	0	0	0	0
caat-sc.profile.45_monabsex1_vs.yml.log	0	0	0	0	0	0
caat-sc.profile.46_monabsex2_vs.yml.log	0	0	0	0	0	0
caat-sc.profile.48_ticket_lock_low_contention_vs-pthread.yml.log	0	0	0	0	0	0
caat-sc.profile.48_ticket_lock_low_contention_vs.yml.log	0	0	0	0	0	0
caat-sc.profile.butterfly.yml.log	3840	0	13112	0	13112	0
caat-sc.profile.circular_buffer_bad.yml.log	10880	0	36872	0	36872	0
