variant	model	repetition	task	copy_ns	offline_ns	peak_snapshot_bytes	max_stable_events	lazy_cycle_checks	lazy_edge_candidates	lazy_depth_fallbacks	product_checks	product_state_visits	product_transitions	product_size_fallbacks	executions	records	process_rss_bytes
after	pso	r02	13-privatized_19-publish-precision_unknown_2_pos.yml	0	0	0	0	0	0	0	0	0	0	0	0	1	26021888
after	pso	r02	13-privatized_20-publish-regression_true.yml	0	850198	4712	24	36	387	0	18	5102	5553	0	2	1	26091520
after	pso	r02	13-privatized_24-multiple-protecting_true.yml	0	17111161	10520	57	852	12744	0	426	243823	286134	0	7	1	26030080
after	pso	r02	13-privatized_25-struct_nr_true.yml	0	437264	4360	22	20	410	0	10	2872	3294	0	2	1	26005504
after	pso	r02	13-privatized_27-multiple-protecting2_true.yml	0	56651396	11224	61	3092	47319	0	1546	711605	802416	0	26	1	26091520
after	pso	r02	13-privatized_29-multiple-protecting2-vesal_true.yml	0	2861814	6824	36	176	1937	0	88	30963	34569	0	4	1	26066944
after	pso	r02	13-privatized_30-traces-oplus-vs-meet_true.yml	0	1207767	5064	26	60	540	0	30	9388	10326	0	2	1	25989120
after	pso	r02	13-privatized_31-traces-mine-vs-mutex_true.yml	0	2317061	5768	30	168	1514	0	84	27125	29574	0	4	1	26034176
after	pso	r02	13-privatized_32-traces-mine-vs-oplus-vs-meet_true.yml	0	3479627	6824	36	152	1965	0	76	27523	31244	0	3	1	26054656
after	pso	r02	13-privatized_33-traces-v-matters_true.yml	0	458272	5240	27	20	121	0	10	3734	4412	0	1	1	26038272
after	pso	r02	13-privatized_34-traces-minepp-L-needs-to-be-um_true.yml	0	515032	5416	28	24	151	0	12	3736	4188	0	1	1	25948160
after	pso	r02	13-privatized_35-traces-ex-2_true.yml	0	1081196	4888	25	60	403	0	30	8892	9725	0	2	1	26013696
after	pso	r02	13-privatized_36-traces-ex-3_true.yml	0	673162	4360	22	54	343	0	27	7679	8541	0	3	1	25964544
after	pso	r02	13-privatized_37-traces-ex-4_true.yml	0	942929	4888	25	56	316	0	28	7707	8344	0	2	1	25968640
after	pso	r02	13-privatized_38-traces-ex-4-switch_true.yml	0	846550	4888	25	60	411	0	30	8757	9561	0	2	1	26034176
after	pso	r02	13-privatized_40-traces-ex-6_true.yml	0	333406	4184	21	16	60	0	8	2201	2423	0	1	1	26050560
