back_offered	back_queued	category	co_offered	co_queued	cputime	memory	peak_work	realized_prefixes	rejected_prefixes	repetition	rf_offered	rf_queued	status	task	validity_queries	variant	walltime	work_added	work_popped
2	2	correct	19	0	0.06771863	26046464.0	3	4	0	01	10	2	true	goblint-regression/13-privatized_36-traces-ex-3_true.yml	6	pruning	0.07765686197672039	4	4
1	1	correct	7	0	0.068696928	26021888.0	2	2	0	01	4	1	true	goblint-regression/13-privatized_18-first-reads_true.yml	3	pruning	0.07267553091514856	2	2
3	3	correct	20	0	0.072999492	25989120.0	4	6	0	01	15	3	true	goblint-regression/13-privatized_35-traces-ex-2_true.yml	7	pruning	0.07483565004076809	6	6
1	1	correct	19	0	0.072251076	25944064.0	2	2	0	01	10	1	true	goblint-regression/13-privatized_37-traces-ex-4_true.yml	3	pruning	0.07987154496368021	2	2
3	3	correct	20	0	0.074067496	26050560.0	4	6	0	01	15	3	true	goblint-regression/13-privatized_38-traces-ex-4-switch_true.yml	7	pruning	0.08055521594360471	6	6
1	1	correct	6	0	0.070726352	26042368.0	2	2	0	01	5	1	false(unreach-call)	goblint-regression/13-privatized_19-publish-precision_unknown_1_pos.yml	1	pruning	0.08058354305103421	3	2
0	0	correct	1	0	0.073025066	25956352.0	1	1	0	01	1	0	false(unreach-call)	goblint-regression/13-privatized_19-publish-precision_unknown_2_pos.yml	0	pruning	0.0768457519588992	1	1
0	0	correct	1	0	0.071655877	26013696.0	1	1	0	01	1	0	false(unreach-call)	goblint-regression/13-privatized_19-publish-precision_unknown_1_neg.yml	0	pruning	0.07683691708371043	1	1
1	1	correct	6	0	0.069100366	25989120.0	2	2	0	01	5	1	false(unreach-call)	goblint-regression/13-privatized_19-publish-precision_unknown_2_neg.yml	1	pruning	0.07884145702701062	3	2
3	3	correct	19	0	0.062506982	25985024.0	4	5	0	01	15	3	true	goblint-regression/13-privatized_45-traces-per-global-and-current-lock-mine-incomparable_true.yml	5	pruning	0.06999026297125965	6	6
1	1	correct	7	0	0.069987436	25972736.0	2	2	0	01	4	1	true	goblint-regression/13-privatized_01-priv_nr_true.yml	3	pruning	0.07648384291678667	2	2
2	2	correct	18	0	0.075985495	25989120.0	3	4	0	01	9	2	true	goblint-regression/13-privatized_19-publish-precision_true.yml	6	pruning	0.08193554100580513	4	4
1	1	correct	18	0	0.069969636	25960448.0	2	2	0	01	9	1	true	goblint-regression/13-privatized_42-traces-ex-mini_true.yml	3	pruning	0.07775533106178045	2	2
2	2	correct	15	0	0.071274511	26079232.0	2	4	0	01	14	2	true	goblint-regression/13-privatized_33-traces-v-matters_true.yml	5	pruning	0.08158317697234452	4	4
1	1	correct	7	0	0.071845397	26017792.0	2	2	0	01	4	1	true	goblint-regression/13-privatized_25-struct_nr_true.yml	3	pruning	0.0871865920489654	2	2
0	0	correct	1	0	0.070497112	26116096.0	0	0	0	01	1	0	true	goblint-regression/13-privatized_69-refine-protected-loop-interval_true.yml	0	pruning	0.07905694597866386	0	0
0	0	correct	4	0	0.072941286	25952256.0	1	1	0	01	3	0	false(unreach-call)	goblint-regression/36-apron_17-traces-rpb-litmus_unknown_1_neg.yml	0	pruning	0.08145846298430115	1	1
3	3	correct	39	0	0.076011846	26005504.0	4	6	0	01	20	3	true	goblint-regression/13-privatized_31-traces-mine-vs-mutex_true.yml	9	pruning	0.08395534195005894	6	6
1	1	correct	15	0	0.070796765	26107904.0	2	2	0	01	8	1	true	goblint-regression/13-privatized_20-publish-regression_true.yml	3	pruning	0.09065874794032425	2	2
3	3	correct	20	0	0.07464674	25989120.0	4	6	0	01	15	3	true	goblint-regression/13-privatized_30-traces-oplus-vs-meet_true.yml	7	pruning	0.08157007396221161	6	6
4	4	correct	42	0	0.076903988	26099712.0	5	8	0	01	26	4	true	goblint-regression/13-privatized_32-traces-mine-vs-oplus-vs-meet_true.yml	10	pruning	0.08508192806039006	8	8
1	1	correct	15	0	0.07649146	26120192.0	2	2	0	01	11	1	true	goblint-regression/13-privatized_34-traces-minepp-L-needs-to-be-um_true.yml	3	pruning	0.0817375120241195	2	2
0	0	correct	1	0	0.071345424	26054656.0	0	0	0	01	1	0	true	goblint-regression/13-privatized_68-pfscan_protected_loop_minimal_interval_true.yml	0	pruning	0.0796807250007987	0	0
3	3	correct	44	0	0.077863112	26021888.0	4	6	0	01	21	3	true	goblint-regression/13-privatized_29-multiple-protecting2-vesal_true.yml	9	pruning	0.08392188500147313	6	6
6	6	correct	101	0	0.092043348	26132480.0	5	12	0	01	49	6	true	goblint-regression/13-privatized_24-multiple-protecting_true.yml	18	pruning	0.10080908495001495	12	12
8	7	correct	45	0	0.077095618	26091520.0	4	15	0	01	30	8	true	goblint-regression/36-apron_21-traces-cluster-based_true.yml	21	pruning	0.09429339494090527	15	15
0	0	correct	0	0	0.074303044	26103808.0	0	0	0	01	0	0	true	goblint-regression/36-apron_22-traces-write-centered-vs-meet-mutex_true_no-overflow.yml	0	pruning	0.08442105399444699	0	0
28	25	correct	349	0	0.140433421	26152960.0	9	43	0	01	167	28	true	goblint-regression/13-privatized_27-multiple-protecting2_true.yml	54	pruning	0.14924550196155906	53	53
0	0	correct	2	0	0.072301661	25976832.0	0	0	0	01	1	0	true	pthread-ext/14_spin2003.yml	0	pruning	0.08185401908122003	0	0
