model	task_yaml	cat_wall_seconds	caat_wall_seconds	wall_ratio_caat_over_cat	cat_memory_bytes	caat_memory_bytes	memory_ratio_caat_over_cat	max_stable_events	max_inactive_events	max_current_base_bytes	max_history_base_bytes	max_base_relation_pairs	max_base_relation_density_ppm	rebuilds	profiled_queries
sc	c/pthread/lazy01.yml	0.05564824491739273	0.06292853807099164	1.1308270038777712	26112000.0	26116096.0	1.000156862745098	26	0	1664	1664	516	763313	0	4
tso	c/ldv-races/race-2_1-container_of.yml	0.06462231208570302	0.06512287608347833	1.0077459933205648	26488832.0	26509312.0	1.0007731560228854	0	0	0	0	0	0	0	0
tso	c/pthread-theta/unwind2-100.yml	0.06054529291577637	0.06314792693592608	1.042986562535426	26292224.0	26312704.0	1.0007789375292102	0	0	0	0	0	0	0	0
tso	c/pthread-ext/48_ticket_lock_low_contention_vs-pthread.yml	0.061867529060691595	0.06112538417801261	0.9880042908784842	26173440.0	26189824.0	1.000625978090767	0	0	0	0	0	0	0	0
tso	c/goblint-regression/13-privatized_35-traces-ex-2_true.yml	0.06190249603241682	0.06592009286396205	1.064902016704485	26157056.0	26181632.0	1.0009395552771687	20	5	1472	1472	158	628099	0	5
tso	c/goblint-regression/13-privatized_58-singlethreaded-lock_true.yml	0.058869765838608146	0.06343100196681917	1.0774801133185357	26132480.0	26148864.0	1.0006269592476489	0	0	0	0	0	0	0	0
tso	c/ldv-races/race-1_2-join.yml	0.06595575902611017	0.06261358596384525	0.9493270472265835	26431488.0	26447872.0	1.0006198667286534	23	0	1688	1688	272	514177	0	1
tso	c/goblint-regression/13-privatized_40-traces-ex-6_true.yml	0.06308279698714614	0.061261667869985104	0.971131129180399	26148864.0	26169344.0	1.00078320802005	14	0	1040	1040	114	581632	0	3
tso	c/goblint-regression/13-privatized_01-priv_nr_true.yml	0.06397689203731716	0.06594332889653742	1.0307366737676669	26173440.0	26202112.0	1.001095461658842	16	0	1184	1184	122	476562	0	3
tso	c/ldv-races/race-3_1-container_of-global.yml	0.06732743885368109	0.06536025693640113	0.9707818691639953	26480640.0	26501120.0	1.0007733952049498	0	0	0	0	0	0	0	0
tso	c/goblint-regression/13-privatized_41-traces-ex-7_unknown_1_neg.yml	0.05994917685166001	0.06207879912108183	1.0355237950087524	26152960.0	26165248.0	1.0004698512137824	0	0	0	0	0	0	0	0
tso	c/goblint-regression/13-privatized_32-traces-mine-vs-oplus-vs-meet_true.yml	0.06262957211583853	0.06248143897391856	0.9976347732083178	26218496.0	26238976.0	1.000781127948758	30	12	2192	2192	248	642857	0	8
tso	c/goblint-regression/36-apron_16-traces-unprot2_true.yml	0.058975467924028635	0.060254954965785146	1.0216952418826881	26091520.0	26112000.0	1.000784929356358	0	0	0	0	0	0	0	0
tso	c/pthread/singleton_with-uninit-problems.yml	0.07320885197259486	0.0649345819838345	0.8869771924321699	26423296.0	26447872.0	1.000930088358394	44	7	3200	3200	1630	841942	0	9
tso	c/pthread-ext/02_inc_cas.yml	0.05552734201774001	0.056182506028562784	1.0117989442140678	26177536.0	26202112.0	1.0009388202159286	0	0	0	0	0	0	0	0
tso	c/goblint-regression/36-apron_11-traces-max-simple_true.yml	0.06609859387390316	0.059553819010034204	0.9009846582159603	26144768.0	26157056.0	1.0004699984333385	12	0	896	896	82	569444	0	3
tso	c/pthread-ext/45_monabsex1_vs.yml	0.06216518301516771	0.06013055704534054	0.9672706510116644	26161152.0	26181632.0	1.0007828401440426	0	0	0	0	0	0	0	0
tso	c/pthread-ext/48_ticket_lock_low_contention_vs.yml	0.050464981934055686	0.05102804419584572	1.0111574846598739	26198016.0	26218496.0	1.0007817385866167	0	0	0	0	0	0	0	0
tso	c/pthread/triangular-2.yml	26.06960699497722	1.530443344032392	0.05870603819717188	26251264.0	26279936.0	1.0010922140739584	68	45	9856	9856	2708	711468	0	7732
tso	c/goblint-regression/13-privatized_42-traces-ex-mini_true.yml	0.06421759095974267	0.06329827895388007	0.9856844208553557	26169344.0	26177536.0	1.0003130380341212	19	0	1400	1400	192	531855	0	3
tso	c/goblint-regression/13-privatized_19-publish-precision_true.yml	0.06184346694499254	0.07019416010007262	1.1350295118885834	26189824.0	26198016.0	1.000312793243666	18	4	1328	1328	198	642857	0	6
tso	c/pthread/butterfly.yml	36.84957778197713	27.244056429015473	0.7393315763400781	26361856.0	26390528.0	1.0010876320696085	60	41	4352	4352	2810	872781	0	196280
tso	c/pthread-theta/unwind3-1.yml	0.059182330034673214	0.06100176693871617	1.030742907603959	26255360.0	26267648.0	1.0004680187207489	18	0	1328	1328	200	617283	0	1
tso	c/pthread-ext/14_spin2003.yml	0.058948470978066325	0.06089472398161888	1.0330161744869808	26148864.0	26161152.0	1.0004699248120301	0	0	0	0	0	0	0	0
tso	c/pthread-theta/exponential-nondet.yml	0.06220760801807046	0.06076395092532039	0.9767929174783458	26267648.0	26275840.0	1.000311866521129	0	0	0	0	0	0	0	0
tso	c/pthread-atomic/dekker-unfair.yml	0.06350834690965712	0.060164768947288394	0.9473521493619558	26218496.0	26251264.0	1.0012498047180127	31	11	2264	2264	688	740484	0	7
tso	c/goblint-regression/13-privatized_20-publish-regression_true.yml	0.06268110498785973	0.06119635608047247	0.9763126558206843	26193920.0	26198016.0	1.0001563721657545	12	0	896	896	82	569444	0	3
tso	c/pthread-atomic/time_var_mutex.yml	0.06292676902376115	0.06273391610011458	0.99693528006223	26263552.0	26296320.0	1.001247660636307	28	0	2048	2048	542	691326	0	3
tso	c/goblint-regression/28-race_reach_46-escape_racefree.yml	0.06517575704492629	0.06357354507781565	0.9754170562835778	26206208.0	26230784.0	1.0009377930603314	17	0	1256	1256	150	519031	0	3
tso	c/pthread-C-DAC/pthread-demo-datarace-3.yml	0.12148550106212497	0.11907112202607095	0.980126196007379	26243072.0	26267648.0	1.0009364757296706	262	0	94480	94480	38441	560005	0	40
tso	c/goblint-regression/13-privatized_25-struct_nr_true.yml	0.06175066391006112	0.06216536997817457	1.0067158155371003	26193920.0	26206208.0	1.0004691164972634	16	0	1184	1184	122	476562	0	3
tso	c/goblint-regression/13-privatized_46-refine-protected1_true.yml	0.06407179497182369	0.06179034197703004	0.9643922416127573	26136576.0	26148864.0	1.000470145745181	0	0	0	0	0	0	0	0
tso	c/goblint-regression/28-race_reach_21-deref_read_racing.yml	1.7666644849814475	1.7703010998666286	1.0020584637977932	56295424.0	56057856.0	0.9957799767171129	0	0	0	0	0	0	0	0
tso	c/ldv-races/race-4_1-thread_local_vars.yml	0.07029546611011028	0.06820976710878313	0.9703295373550815	26497024.0	26525696.0	1.0010820837842016	0	0	0	0	0	0	0	0
tso	c/goblint-regression/13-privatized_45-traces-per-global-and-current-lock-mine-incomparable_true.yml	0.061931815929710865	0.06534292991273105	1.0550785397103746	26165248.0	26181632.0	1.0006261740763933	20	9	1472	1472	174	628099	0	4
tso	c/goblint-regression/13-privatized_57-singlethreaded-unlock_true.yml	0.058132443111389875	0.059398012002930045	1.0217704404598162	26124288.0	26148864.0	1.0009407337723424	0	0	0	0	0	0	0	0
tso	c/ldv-races/race-1_1-join.yml	0.06246680486947298	0.06136312009766698	0.9823316596052544	26402816.0	26419200.0	1.0006205398696866	0	0	0	0	0	0	0	0
tso	c/pthread-ext/43_NetBSD_sysmon_power_sliced.yml	0.058131953002884984	0.055799046996980906	0.9598687832526751	26140672.0	26157056.0	1.0006267627702914	0	0	0	0	0	0	0	0
tso	c/goblint-regression/13-privatized_18-first-reads_unknown_2_pos.yml	0.0618828060105443	0.061860807007178664	0.999644505400064	26181632.0	26210304.0	1.0010951188986232	8	0	608	608	34	531250	0	1
tso	c/goblint-regression/13-privatized_38-traces-ex-4-switch_true.yml	0.0621605790220201	0.06340500479564071	1.0200195331703679	26161152.0	26177536.0	1.0006262721152341	20	5	1472	1472	158	628099	0	5
tso	c/pthread/singleton.yml	0.0643870490603149	0.06010209606029093	0.9334500794405097	26419200.0	26435584.0	1.0006201550387597	43	0	3128	3128	1548	837209	0	5
tso	c/pthread-theta/unwind2-1.yml	0.06284215999767184	0.060823543928563595	0.967877996727308	26288128.0	26304512.0	1.000623247117482	0	0	0	0	0	0	0	0
