backend	model	program	repetition	status	real_seconds	user_seconds	sys_seconds	peak_rss_bytes	complete_executions	blocked_executions
caat	tso	correct/data-structures/fcombiner-async/variants/main0.c	7	42	0.09	0.06	0.02	54493184	0	0
cat	sc	correct/litmus/SB/variants/sb0.c	8	0	0.06	0.03	0.01	52674560	3	0
caat	sc	correct/litmus/SB/variants/sb0.c	8	0	0.05	0.03	0.01	52559872	3	0
genmc	sc	correct/litmus/SB/variants/sb0.c	8	0	0.05	0.03	0.01	52609024	3	0
cat	sc	correct/litmus/RMWFix/variants/rmwfix0.c	8	0	0.05	0.03	0.01	52641792	4	0
caat	sc	correct/litmus/RMWFix/variants/rmwfix0.c	8	0	0.05	0.03	0.01	52707328	4	0
genmc	sc	correct/litmus/RMWFix/variants/rmwfix0.c	8	0	0.05	0.03	0.01	52592640	4	0
cat	sc	correct/data-structures/ms-queue-dynamic/variants/main0.c	8	0	0.06	0.04	0.02	53723136	2	6
caat	sc	correct/data-structures/ms-queue-dynamic/variants/main0.c	8	0	0.06	0.04	0.02	53706752	2	6
genmc	sc	correct/data-structures/ms-queue-dynamic/variants/main0.c	8	0	0.06	0.03	0.02	53903360	2	6
cat	sc	correct/data-structures/treiber-stack-dynamic/variants/main0.c	8	0	0.06	0.03	0.01	53510144	8	6
caat	sc	correct/data-structures/treiber-stack-dynamic/variants/main0.c	8	0	0.06	0.04	0.01	53673984	8	6
genmc	sc	correct/data-structures/treiber-stack-dynamic/variants/main0.c	8	0	0.06	0.03	0.01	53444608	8	6
cat	sc	correct/data-structures/fcombiner-async/variants/main0.c	8	0	0.17	0.14	0.02	54542336	24	16
caat	sc	correct/data-structures/fcombiner-async/variants/main0.c	8	0	0.11	0.08	0.01	54394880	24	16
genmc	sc	correct/data-structures/fcombiner-async/variants/main0.c	8	0	0.09	0.06	0.01	54394880	24	16
cat	tso	correct/litmus/SB/variants/sb0.c	8	0	0.05	0.03	0.01	52674560	4	0
caat	tso	correct/litmus/SB/variants/sb0.c	8	0	0.05	0.03	0.01	52625408	4	0
genmc	tso	correct/litmus/SB/variants/sb0.c	8	0	0.05	0.03	0.01	52527104	4	0
cat	tso	correct/litmus/RMWFix/variants/rmwfix0.c	8	0	0.05	0.03	0.01	52510720	4	0
caat	tso	correct/litmus/RMWFix/variants/rmwfix0.c	8	0	0.05	0.03	0.01	52609024	4	0
genmc	tso	correct/litmus/RMWFix/variants/rmwfix0.c	8	0	0.08	0.03	0.01	52609024	4	0
cat	tso	correct/data-structures/ms-queue-dynamic/variants/main0.c	8	0	0.06	0.04	0.02	53739520	2	6
caat	tso	correct/data-structures/ms-queue-dynamic/variants/main0.c	8	0	0.06	0.04	0.01	53739520	2	6
genmc	tso	correct/data-structures/ms-queue-dynamic/variants/main0.c	8	0	0.06	0.03	0.02	53854208	2	6
cat	tso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	8	0	0.07	0.04	0.01	53559296	8	6
caat	tso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	8	0	0.06	0.03	0.01	53510144	8	6
genmc	tso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	8	0	0.06	0.03	0.01	53526528	8	6
cat	tso	correct/data-structures/fcombiner-async/variants/main0.c	8	42	0.08	0.06	0.01	54460416	0	0
caat	tso	correct/data-structures/fcombiner-async/variants/main0.c	8	42	0.08	0.06	0.02	54444032	0	0
genmc	tso	correct/data-structures/fcombiner-async/variants/main0.c	8	42	0.08	0.05	0.02	54689792	0	0
caat	sc	correct/litmus/SB/variants/sb0.c	9	0	0.05	0.03	0.01	52576256	3	0
genmc	sc	correct/litmus/SB/variants/sb0.c	9	0	0.05	0.03	0.01	52625408	3	0
cat	sc	correct/litmus/SB/variants/sb0.c	9	0	0.05	0.03	0.01	52674560	3	0
caat	sc	correct/litmus/RMWFix/variants/rmwfix0.c	9	0	0.05	0.03	0.01	52592640	4	0
genmc	sc	correct/litmus/RMWFix/variants/rmwfix0.c	9	0	0.05	0.03	0.01	52576256	4	0
cat	sc	correct/litmus/RMWFix/variants/rmwfix0.c	9	0	0.05	0.03	0.01	52559872	4	0
caat	sc	correct/data-structures/ms-queue-dynamic/variants/main0.c	9	0	0.06	0.04	0.01	53886976	2	6
genmc	sc	correct/data-structures/ms-queue-dynamic/variants/main0.c	9	0	0.06	0.03	0.01	53641216	2	6
cat	sc	correct/data-structures/ms-queue-dynamic/variants/main0.c	9	0	0.06	0.04	0.02	53837824	2	6
