variant	model	repetition	task	offline_ns	materialize_ns	peak_snapshot_bytes	max_current_base_bytes	max_stable_events	records	executions
after	pso	r03	triangular-1.yml	0	0	0	0	0	0	-1
after	pso	r03	triangular-2.yml	27187853207	14478231774	62584	9856	68	1	3638
after	pso	r03	twostage_3.yml	13179573	3456705	92680	14608	101	1	4
after	pso	r03	unwind2-1.yml	97376	45704	8704	1328	18	1	1
after	pso	r03	unwind2-100.yml	93768	46459	8704	1328	18	1	1
after	pso	r03	unwind3-1.yml	93414	42536	8704	1328	18	1	1
after	pso	r04	01b_inc.yml	179069	71816	10072	1544	21	1	0
after	pso	r04	02_inc_cas.yml	0	0	0	0	0	1	0
after	pso	r04	13-privatized_01-priv_nr_true.yml	325427	133062	10528	1616	22	1	2
after	pso	r04	13-privatized_18-first-reads_true.yml	288219	116439	7792	1184	16	1	2
after	pso	r04	13-privatized_18-first-reads_unknown_1_neg.yml	28931	18327	4144	608	8	1	0
after	pso	r04	13-privatized_18-first-reads_unknown_2_pos.yml	26995	20775	4144	608	8	1	0
after	pso	r04	13-privatized_19-publish-precision_true.yml	1293890	487411	10984	1688	23	1	3
after	pso	r04	13-privatized_19-publish-precision_unknown_1_neg.yml	0	0	0	0	0	1	0
after	pso	r04	13-privatized_19-publish-precision_unknown_1_pos.yml	33136	22541	6424	968	13	1	0
after	pso	r04	13-privatized_19-publish-precision_unknown_2_neg.yml	35278	25601	6424	968	13	1	0
after	pso	r04	13-privatized_19-publish-precision_unknown_2_pos.yml	0	0	0	0	0	1	0
after	pso	r04	13-privatized_20-publish-regression_true.yml	646253	232536	11440	1760	24	1	2
after	pso	r04	13-privatized_24-multiple-protecting_true.yml	31284850	12502162	26488	4136	57	1	7
after	pso	r04	13-privatized_25-struct_nr_true.yml	321343	133070	10528	1616	22	1	2
after	pso	r04	13-privatized_27-multiple-protecting2_true.yml	123758598	47414428	28312	4424	61	1	26
after	pso	r04	13-privatized_29-multiple-protecting2-vesal_true.yml	3767178	1325937	16912	2624	36	1	4
after	pso	r04	13-privatized_30-traces-oplus-vs-meet_true.yml	993879	375707	12352	1904	26	1	2
after	pso	r04	13-privatized_31-traces-mine-vs-mutex_true.yml	2997216	1111093	14176	2192	30	1	4
after	pso	r04	13-privatized_32-traces-mine-vs-oplus-vs-meet_true.yml	4235720	1494811	16912	2624	36	1	3
after	pso	r04	13-privatized_33-traces-v-matters_true.yml	355262	142892	12808	1976	27	1	1
after	pso	r04	13-privatized_34-traces-minepp-L-needs-to-be-um_true.yml	613085	221011	13264	2048	28	1	1
after	pso	r04	13-privatized_35-traces-ex-2_true.yml	929944	348902	11896	1832	25	1	2
after	pso	r04	13-privatized_36-traces-ex-3_true.yml	762305	292050	10528	1616	22	1	3
after	pso	r04	13-privatized_37-traces-ex-4_true.yml	863264	329865	11896	1832	25	1	2
after	pso	r04	13-privatized_38-traces-ex-4-switch_true.yml	930861	348600	11896	1832	25	1	2
