variant	model	repetition	task	copy_ns	offline_ns	peak_snapshot_bytes	max_stable_events	lazy_cycle_checks	lazy_edge_candidates	lazy_unique_edges	records
after	pso	r03	13-privatized_31-traces-mine-vs-mutex_true.yml	0	14518594	5768	30	168	2572	0	1
after	pso	r03	13-privatized_32-traces-mine-vs-oplus-vs-meet_true.yml	0	2100155	6824	36	152	3063	0	1
after	pso	r03	13-privatized_33-traces-v-matters_true.yml	0	252197	5240	27	20	306	0	1
after	pso	r03	13-privatized_34-traces-minepp-L-needs-to-be-um_true.yml	0	247254	5416	28	24	292	0	1
after	pso	r03	13-privatized_35-traces-ex-2_true.yml	0	743303	4888	25	60	766	0	1
after	pso	r03	13-privatized_36-traces-ex-3_true.yml	0	508844	4360	22	54	666	0	1
after	pso	r03	13-privatized_37-traces-ex-4_true.yml	0	674728	4888	25	56	604	0	1
after	pso	r03	13-privatized_38-traces-ex-4-switch_true.yml	0	587970	4888	25	60	761	0	1
after	pso	r03	13-privatized_40-traces-ex-6_true.yml	0	213138	4184	21	16	159	0	1
after	pso	r03	13-privatized_41-traces-ex-7_unknown_1_neg.yml	0	0	0	0	0	0	0	1
after	pso	r03	13-privatized_41-traces-ex-7_unknown_1_pos.yml	0	39080	2776	13	2	44	0	1
after	pso	r03	13-privatized_42-traces-ex-mini_true.yml	0	523041	5064	26	40	596	0	1
after	pso	r03	13-privatized_44-traces-mine2_true.yml	0	91296	4184	21	6	69	0	1
after	pso	r03	13-privatized_45-traces-per-global-and-current-lock-mine-incomparable_true.yml	0	723528	4888	25	58	797	0	1
after	pso	r03	13-privatized_46-refine-protected1_true.yml	0	83442	2952	14	8	47	0	1
after	pso	r03	13-privatized_47-refine-protected2_true.yml	0	236773	3128	15	20	171	0	1
after	pso	r03	13-privatized_57-singlethreaded-unlock_true.yml	0	29420	1544	6	2	6	0	1
after	pso	r03	13-privatized_58-singlethreaded-lock_true.yml	0	28442	1544	6	2	6	0	1
after	pso	r03	13-privatized_66-mine-W-init_true.yml	0	0	0	0	0	0	0	1
after	pso	r03	13-privatized_68-pfscan_protected_loop_minimal_interval_true.yml	0	37401	2248	10	2	13	0	1
after	pso	r03	13-privatized_69-refine-protected-loop-interval_true.yml	0	41597	2248	10	2	13	0	1
after	pso	r03	14_spin2003.yml	0	31668	2600	12	2	8	0	1
after	pso	r03	28-race_reach_01-simple_racing.yml	0	0	0	0	0	0	0	0
after	pso	r03	28-race_reach_06-cond_racing1.yml	0	0	0	0	0	0	0	0
after	pso	r03	28-race_reach_11-ptr_racing.yml	0	0	0	0	0	0	0	0
after	pso	r03	28-race_reach_21-deref_read_racing.yml	0	0	0	0	0	0	0	1
after	pso	r03	28-race_reach_24-sound_lock_racing.yml	0	0	0	0	0	0	0	0
after	pso	r03	28-race_reach_37-indirect_racing.yml	0	0	0	0	0	0	0	0
after	pso	r03	28-race_reach_45-escape_racing.yml	0	41948	3832	19	2	78	0	1
after	pso	r03	28-race_reach_46-escape_racefree.yml	0	698057	5592	29	56	977	0	1
after	pso	r03	29_conditionals_vs.yml	0	0	0	0	0	0	0	1
after	pso	r03	36-apron_11-traces-max-simple_true.yml	0	188964	3304	16	20	171	0	1
after	pso	r03	36-apron_16-traces-unprot2_true.yml	0	0	0	0	0	0	0	1
after	pso	r03	36-apron_17-traces-rpb-litmus_unknown_1_neg.yml	0	0	0	0	0	0	0	1
after	pso	r03	36-apron_21-traces-cluster-based_true.yml	0	2398169	6648	35	172	3116	0	1
after	pso	r03	36-apron_22-traces-write-centered-vs-meet-mutex_true_no-overflow.yml	0	0	0	0	0	0	0	1
after	pso	r03	36-apron_41-threadenter-no-locals_unknown_1_pos.yml	0	0	0	0	0	0	0	1
after	pso	r03	43_NetBSD_sysmon_power_sliced.yml	0	0	0	0	0	0	0	1
after	pso	r03	45_monabsex1_vs.yml	0	131657	3304	16	8	57	0	1
after	pso	r03	46_monabsex2_vs.yml	0	170859	4184	21	18	137	0	1
after	pso	r03	48_ticket_lock_low_contention_vs-pthread.yml	0	35582	2600	12	2	8	0	1
