adapter-ns	adaptive-offline	checkpoint-ns	copy-ns	cpu_s	equality-ns	eval-ops	evicted	has_statistics	history-ns	initialize	insert	insert-attempt-ns	lazy-cycle-checks	lazy-depth-fallbacks	lazy-edge-candidates	materialize-ns	max-active-events	max-base-relation-density-ppm	max-base-relation-pairs	max-current-base-bytes	max-history-base-bytes	max-inactive-events	max-stable-events	model	offline-evals	offline-ns	oracle	peak-snapshot-equivalent-bytes	peak-undo-bytes	preventive-all-pruned-fallbacks	preventive-co-candidates	preventive-co-pruned	preventive-lookup-ns	preventive-prefix-inconsistent	preventive-prefix-queries	preventive-rf-candidates	preventive-rf-pruned	profiled-queries	queue-pushes	rebuild	rebuild-ns	repetition	replace	retained-snapshot-equivalent-bytes	retained-undo-bytes	rollback	rollback-insert	rollback-ns	status	sync-ns	task	unchanged	value-changes	worklist-ns
0	87	26162	0	0.069791988	28593	0	0	True	0	1	0	0	176	0	3243	1555556	35	640000	728	2624	2624	24	36	pso	88	2307195	0	6824	0	0	0	0	0	0	0	0	0	91	0	0	2317573	r01	0	6824	0	0	0	0	true	4329152	c/goblint-regression/13-privatized_29-multiple-protecting2-vesal_true.yml	3	0	0
0	85	27345	0	0.078455181	32077	0	0	True	0	1	0	0	172	0	3116	1501158	34	754437	866	2552	2552	20	35	pso	86	2376350	0	6648	0	0	0	0	0	0	0	0	0	91	0	0	2387562	r01	0	6648	0	0	0	0	true	4339370	c/goblint-regression/36-apron_21-traces-cluster-based_true.yml	5	0	0
0	425	165178	0	0.098773721	162095	0	0	True	0	1	0	0	852	0	23592	13947771	56	606481	1798	4136	4136	46	57	pso	426	14354790	0	10520	0	0	0	0	0	0	0	0	0	432	0	0	14403675	r01	0	10520	0	0	0	0	true	30859335	c/goblint-regression/13-privatized_24-multiple-protecting_true.yml	6	0	0
0	0	0	0	0.07371809	0	0	0	True	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	pso	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	r01	0	0	0	0	0	0	true	0	c/goblint-regression/36-apron_22-traces-write-centered-vs-meet-mutex_true_no-overflow.yml	0	0	0
0	0	803	0	0.070248415	0	0	0	True	0	1	0	0	2	0	8	23458	12	611111	88	896	896	0	12	pso	1	38077	0	2600	0	0	0	0	0	0	0	0	0	1	0	0	44309	r01	0	2600	0	0	0	0	true	73693	c/pthread-ext/14_spin2003.yml	0	0	0
0	0	0	0	0.070016148	0	0	0	True	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	pso	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	r01	0	0	0	0	0	0	true	0	c/pthread-ext/29_conditionals_vs.yml	0	0	0
0	0	838	0	0.068684525	0	0	0	True	0	1	0	0	2	0	8	24251	12	611111	88	896	896	0	12	pso	1	32349	0	2600	0	0	0	0	0	0	0	0	0	1	0	0	38018	r01	0	2600	0	0	0	0	true	68061	c/pthread-ext/48_ticket_lock_low_contention_vs-pthread.yml	0	0	0
0	1545	397447	0	0.158151428	433213	0	0	True	0	1	0	0	3092	0	82273	39040948	59	720533	2430	4424	4424	48	61	pso	1546	37879848	0	11224	0	0	0	0	0	0	0	0	0	1564	0	0	38005413	r01	0	11224	0	0	0	0	true	84031284	c/goblint-regression/13-privatized_27-multiple-protecting2_true.yml	18	0	0
0	8	3566	0	0.066888001	2633	0	0	True	0	1	0	0	18	0	137	137321	21	628099	220	1544	1544	10	21	pso	9	217372	0	4184	0	0	0	0	0	0	0	0	0	9	0	0	218761	r01	0	4184	0	0	0	0	true	403060	c/pthread-ext/46_monabsex2_vs.yml	0	0	0
0	3	2695	0	0.068547995	1145	0	0	True	0	1	0	0	8	0	57	75132	16	625000	146	1184	1184	4	16	pso	4	116969	0	3304	0	0	0	0	0	0	0	0	0	4	0	0	118267	r01	0	3304	0	0	0	0	true	215041	c/pthread-ext/45_monabsex1_vs.yml	0	0	0
