index	kind	model	program	sha256	arguments	expected_sc	builtin_status	cat_status	classification	builtin_signature	cat_signature
113	correct	sc	correct/litmus/WWmerge2/variants/WWmerge20.c	e8658850eedaac6a0f56da1bcfc05570e004fe529d8c230c1af36bd3f7ed6836	 | 	7	0	0	match	No errors were detected.;Number of complete executions explored: 7	No errors were detected.;Number of complete executions explored: 7
113	correct	tso	correct/litmus/WWmerge2/variants/WWmerge20.c	e8658850eedaac6a0f56da1bcfc05570e004fe529d8c230c1af36bd3f7ed6836	 | 	7	0	0	match	No errors were detected.;Number of complete executions explored: 7	No errors were detected.;Number of complete executions explored: 7
114	correct	sc	correct/litmus/Z6+acq/variants/z6+acq0.c	9735585c1597f7fba8cfaf877d967c35f3769606b28b7c0bdc5a535bbd8a279d	-disable-ipr -disable-sr  | 	7	0	0	match	Warning: Unordered writes!;No errors were detected.;Number of complete executions explored: 7	Warning: Unordered writes!;No errors were detected.;Number of complete executions explored: 7
114	correct	tso	correct/litmus/Z6+acq/variants/z6+acq0.c	9735585c1597f7fba8cfaf877d967c35f3769606b28b7c0bdc5a535bbd8a279d	-disable-ipr -disable-sr  | 	7	0	0	match	Warning: Unordered writes!;No errors were detected.;Number of complete executions explored: 7	Warning: Unordered writes!;No errors were detected.;Number of complete executions explored: 7
115	correct	sc	correct/litmus/Z6+acq/variants/z6+acq1.c	16c4563d4a7a4fd6e3abad6459af4e4a64ce3049fba65781f6dacc52c8091a32	-disable-ipr -disable-sr  | 	7	0	0	match	Warning: Unordered writes!;No errors were detected.;Number of complete executions explored: 7	Warning: Unordered writes!;No errors were detected.;Number of complete executions explored: 7
115	correct	tso	correct/litmus/Z6+acq/variants/z6+acq1.c	16c4563d4a7a4fd6e3abad6459af4e4a64ce3049fba65781f6dacc52c8091a32	-disable-ipr -disable-sr  | 	7	0	0	match	Warning: Unordered writes!;No errors were detected.;Number of complete executions explored: 7	Warning: Unordered writes!;No errors were detected.;Number of complete executions explored: 7
116	correct	sc	correct/litmus/Z6.U/variants/Z6.U0.c	0c6c954af4b6f73e04af4f00c96d130ff45249900f34296e66bbe211ed82b048	-disable-ipr -disable-sr  | 	18	0	0	match	Warning: Unordered writes!;No errors were detected.;Number of complete executions explored: 18	Warning: Unordered writes!;No errors were detected.;Number of complete executions explored: 18
116	correct	tso	correct/litmus/Z6.U/variants/Z6.U0.c	0c6c954af4b6f73e04af4f00c96d130ff45249900f34296e66bbe211ed82b048	-disable-ipr -disable-sr  | 	18	0	0	match	Warning: Unordered writes!;No errors were detected.;Number of complete executions explored: 18	Warning: Unordered writes!;No errors were detected.;Number of complete executions explored: 18
117	correct	sc	correct/litmus/assume-ctrl/variants/assume-ctrl0.c	8e7a36f7b8c4ff97be9bbcc272cc511ba5ac9dc5082233cd9d0aad133c0e6c7a	 | 	4	0	0	match	No errors were detected.;Number of complete executions explored: 4	No errors were detected.;Number of complete executions explored: 4
117	correct	tso	correct/litmus/assume-ctrl/variants/assume-ctrl0.c	8e7a36f7b8c4ff97be9bbcc272cc511ba5ac9dc5082233cd9d0aad133c0e6c7a	 | 	4	0	0	match	No errors were detected.;Number of complete executions explored: 4	No errors were detected.;Number of complete executions explored: 4
118	correct	sc	correct/litmus/atomicpo/variants/atomicpo0.c	ca0daeedfea3a26060422b71f83f3db61290bf35b387e2ab09351e31e9c51ed0	-disable-ipr -disable-sr  | 	3	0	0	match	Warning: Unordered writes!;No errors were detected.;Number of complete executions explored: 3	Warning: Unordered writes!;No errors were detected.;Number of complete executions explored: 3
118	correct	tso	correct/litmus/atomicpo/variants/atomicpo0.c	ca0daeedfea3a26060422b71f83f3db61290bf35b387e2ab09351e31e9c51ed0	-disable-ipr -disable-sr  | 	3	0	0	match	Warning: Unordered writes!;No errors were detected.;Number of complete executions explored: 3	Warning: Unordered writes!;No errors were detected.;Number of complete executions explored: 3
119	correct	sc	correct/litmus/casdep/variants/casdep0.c	9162502b38dc0121f1c6fe66313d6b0f642f566d89b6e9e61f90077172cde194	 | 	2	0	0	match	Warning: Unordered writes!;No errors were detected.;Number of complete executions explored: 2	Warning: Unordered writes!;No errors were detected.;Number of complete executions explored: 2
119	correct	tso	correct/litmus/casdep/variants/casdep0.c	9162502b38dc0121f1c6fe66313d6b0f642f566d89b6e9e61f90077172cde194	 | 	2	0	0	match	Warning: Unordered writes!;No errors were detected.;Number of complete executions explored: 2	Warning: Unordered writes!;No errors were detected.;Number of complete executions explored: 2
120	correct	sc	correct/litmus/ccr/variants/ccr0.c	3e640d9f8016128beadc0c811337aa1db41fde38654552ccb8e39ef08d9813a1	 | 	2	0	0	match	No errors were detected.;Number of complete executions explored: 2	No errors were detected.;Number of complete executions explored: 2
120	correct	tso	correct/litmus/ccr/variants/ccr0.c	3e640d9f8016128beadc0c811337aa1db41fde38654552ccb8e39ef08d9813a1	 | 	2	0	0	match	No errors were detected.;Number of complete executions explored: 2	No errors were detected.;Number of complete executions explored: 2
