backend	task_yaml	runs	family	source_bytes	source_lines	adapter_source_lines	adapter_transitive_lines	all_repetitions_solved	statuses	median_wall_seconds	median_cpu_seconds	median_memory_bytes
caat-pso	c/pthread-theta/unwind2-100.yml	5	pthread-theta	33685	783			true	false(unreach-call):5	0.060444324	0.046382	26324992
caat-pso	c/pthread-theta/unwind3-1.yml	5	pthread-theta	33579	780			true	false(unreach-call):5	0.0580993749	0.046682	26292224
caat-pso	c/pthread/butterfly.yml	5	pthread	33848	806			false	TIMEOUT:5			
caat-pso	c/pthread/fib_safe-5.yml	5	pthread	31317	728			false	TIMEOUT:5			
caat-pso	c/pthread/fib_safe-6.yml	5	pthread	31317	728			false	TIMEOUT:5			
caat-pso	c/pthread/fib_unsafe-5.yml	5	pthread	31317	728			false	TIMEOUT:5			
caat-pso	c/pthread/fib_unsafe-6.yml	5	pthread	31317	728			false	TIMEOUT:5			
caat-pso	c/pthread/fib_unsafe-7.yml	5	pthread	31317	728			false	TIMEOUT:5			
caat-pso	c/pthread/lazy01.yml	5	pthread	31389	739			true	false(unreach-call):5	0.0605119301	0.046625	26324992
caat-pso	c/pthread/queue.yml	5	pthread	44025	1068			true	false(unreach-call):5	5.35958513	5.343037	26435584
caat-pso	c/pthread/queue_longer.yml	5	pthread	44020	1067			false	TIMEOUT:5			
caat-pso	c/pthread/queue_ok.yml	5	pthread	43780	1057			true	true:5	0.130447481	0.119574	26431488
caat-pso	c/pthread/queue_ok_longer.yml	5	pthread	43782	1057			false	TIMEOUT:5			
caat-pso	c/pthread/queue_ok_longest.yml	5	pthread	43790	1057			false	TIMEOUT:5			
caat-pso	c/pthread/reorder_2.yml	5	pthread	60275	1310			true	false(unreach-call):5	2.31840923	2.308651	26398720
caat-pso	c/pthread/singleton.yml	5	pthread	56401	1166			true	false(unreach-call):5	0.0647630771	0.052	26472448
caat-pso	c/pthread/singleton_with-uninit-problems.yml	5	pthread	56437	1166			true	true:5	0.0772845091	0.057856	26472448
caat-pso	c/pthread/stateful01-1.yml	5	pthread	30876	731			true	false(unreach-call):5	0.0652900462	0.047031	26292224
caat-pso	c/pthread/stateful01-2.yml	5	pthread	30876	731			true	true:5	0.0723154941	0.055796	26296320
caat-pso	c/pthread/triangular-1.yml	5	pthread	30992	725			false	TIMEOUT:5			
caat-pso	c/pthread/triangular-2.yml	5	pthread	30994	725			false	TIMEOUT:5			
caat-pso	c/pthread/twostage_3.yml	5	pthread	61359	1342			true	false(unreach-call):5	0.10034219	0.089936	26562560
cat-pso	c/goblint-regression/13-privatized_01-priv_nr_true.yml	5	goblint-regression	1061	42			true	true:5	0.067703235	0.046257	26189824
cat-pso	c/goblint-regression/13-privatized_18-first-reads_true.yml	5	goblint-regression	1011	45			true	true:5	0.0601775069	0.046639	26198016
cat-pso	c/goblint-regression/13-privatized_18-first-reads_unknown_1_neg.yml	5	goblint-regression	977	44			true	false(unreach-call):5	0.063399137	0.045743	26198016
cat-pso	c/goblint-regression/13-privatized_18-first-reads_unknown_2_pos.yml	5	goblint-regression	974	44			true	false(unreach-call):5	0.058404322	0.045863	26193920
cat-pso	c/goblint-regression/13-privatized_19-publish-precision_true.yml	5	goblint-regression	1081	43			true	true:5	0.0663302201	0.047256	26189824
cat-pso	c/goblint-regression/13-privatized_19-publish-precision_unknown_1_neg.yml	5	goblint-regression	1051	42			true	false(unreach-call):5	0.0617993341	0.04628	26189824
cat-pso	c/goblint-regression/13-privatized_19-publish-precision_unknown_1_pos.yml	5	goblint-regression	1048	42			true	false(unreach-call):5	0.0601651389	0.045563	26193920
cat-pso	c/goblint-regression/13-privatized_19-publish-precision_unknown_2_neg.yml	5	goblint-regression	1051	42			true	false(unreach-call):5	0.0606146061	0.046167	26193920
cat-pso	c/goblint-regression/13-privatized_19-publish-precision_unknown_2_pos.yml	5	goblint-regression	1048	42			true	false(unreach-call):5	0.0668257601	0.046145	26198016
cat-pso	c/goblint-regression/13-privatized_20-publish-regression_true.yml	5	goblint-regression	1284	46			true	true:5	0.061953376	0.046921	26193920
cat-pso	c/goblint-regression/13-privatized_24-multiple-protecting_true.yml	5	goblint-regression	1821	66			true	true:5	0.0933818901	0.076656	26255360
cat-pso	c/goblint-regression/13-privatized_25-struct_nr_true.yml	5	goblint-regression	1138	46			true	true:5	0.065703013	0.047053	26206208
cat-pso	c/goblint-regression/13-privatized_27-multiple-protecting2_true.yml	5	goblint-regression	2193	72			true	true:5	0.185125368	0.166699	26292224
cat-pso	c/goblint-regression/13-privatized_29-multiple-protecting2-vesal_true.yml	5	goblint-regression	1674	53			true	true:5	0.0657260481	0.049223	26218496
cat-pso	c/goblint-regression/13-privatized_30-traces-oplus-vs-meet_true.yml	5	goblint-regression	1337	51			true	true:5	0.064019687	0.047447	26206208
cat-pso	c/goblint-regression/13-privatized_31-traces-mine-vs-mutex_true.yml	5	goblint-regression	1267	46			true	true:5	0.0663883288	0.048941	26210304
cat-pso	c/goblint-regression/13-privatized_32-traces-mine-vs-oplus-vs-meet_true.yml	5	goblint-regression	1377	53			true	true:5	0.0641459909	0.048882	26230784
cat-pso	c/goblint-regression/13-privatized_33-traces-v-matters_true.yml	5	goblint-regression	1097	42			true	true:5	0.0640258191	0.04682	26185728
cat-pso	c/goblint-regression/13-privatized_34-traces-minepp-L-needs-to-be-um_true.yml	5	goblint-regression	1379	54			true	true:5	0.0620827598	0.046833	26193920
cat-pso	c/goblint-regression/13-privatized_35-traces-ex-2_true.yml	5	goblint-regression	1041	41			true	true:5	0.0644707489	0.046915	26169344
cat-pso	c/goblint-regression/13-privatized_36-traces-ex-3_true.yml	5	goblint-regression	987	39			true	true:5	0.05900741	0.046165	26157056
cat-pso	c/goblint-regression/13-privatized_37-traces-ex-4_true.yml	5	goblint-regression	1041	41			true	true:5	0.064260659	0.046538	26169344
cat-pso	c/goblint-regression/13-privatized_38-traces-ex-4-switch_true.yml	5	goblint-regression	1041	41			true	true:5	0.0645808962	0.047317	26173440
cat-pso	c/goblint-regression/13-privatized_40-traces-ex-6_true.yml	5	goblint-regression	959	38			true	true:5	0.0613358552	0.046562	26157056
cat-pso	c/goblint-regression/13-privatized_41-traces-ex-7_unknown_1_neg.yml	5	goblint-regression	945	37			true	false(unreach-call):5	0.0612141031	0.045868	26161152
cat-pso	c/goblint-regression/13-privatized_41-traces-ex-7_unknown_1_pos.yml	5	goblint-regression	942	37			true	false(unreach-call):5	0.06312989	0.046178	26165248
cat-pso	c/goblint-regression/13-privatized_42-traces-ex-mini_true.yml	5	goblint-regression	1092	42			true	true:5	0.0604909761	0.046662	26181632
cat-pso	c/goblint-regression/13-privatized_44-traces-mine2_true.yml	5	goblint-regression	973	39			true	true:5	0.0623228829	0.046266	26157056
cat-pso	c/goblint-regression/13-privatized_45-traces-per-global-and-current-lock-mine-incomparable_true.yml	5	goblint-regression	1054	41			true	true:5	0.0646051699	0.046551	26173440
cat-pso	c/goblint-regression/13-privatized_46-refine-protected1_true.yml	5	goblint-regression	909	39			true	true:5	0.0557556709	0.046115	26144768
cat-pso	c/goblint-regression/13-privatized_47-refine-protected2_true.yml	5	goblint-regression	866	37			true	true:5	0.0646290928	0.046425	26152960
cat-pso	c/goblint-regression/13-privatized_57-singlethreaded-unlock_true.yml	5	goblint-regression	816	36			true	true:5	0.0623114461	0.045877	26140672
cat-pso	c/goblint-regression/13-privatized_58-singlethreaded-lock_true.yml	5	goblint-regression	967	39			true	true:5	0.057370323	0.04467	26140672
cat-pso	c/goblint-regression/13-privatized_66-mine-W-init_true.yml	5	goblint-regression	621	27			true	true:5	0.043475366	0.03408	26116096
cat-pso	c/goblint-regression/13-privatized_68-pfscan_protected_loop_minimal_interval_true.yml	5	goblint-regression	1532	77			true	true:5	0.0631180289	0.047753	26271744
cat-pso	c/goblint-regression/13-privatized_69-refine-protected-loop-interval_true.yml	5	goblint-regression	1250	72			true	true:5	0.0640869201	0.046776	26247168
cat-pso	c/goblint-regression/28-race_reach_01-simple_racing.yml	5	goblint-regression	31261	713			false	OUT OF MEMORY:5			
cat-pso	c/goblint-regression/28-race_reach_06-cond_racing1.yml	5	goblint-regression	42556	954			false	OUT OF MEMORY:5			
cat-pso	c/goblint-regression/28-race_reach_11-ptr_racing.yml	5	goblint-regression	31273	714			false	OUT OF MEMORY:5			
cat-pso	c/goblint-regression/28-race_reach_21-deref_read_racing.yml	5	goblint-regression	31073	711			true	false(unreach-call):5	1.77455027	1.755239	56328192
cat-pso	c/goblint-regression/28-race_reach_24-sound_lock_racing.yml	5	goblint-regression	31338	716			false	OUT OF MEMORY:5			
cat-pso	c/goblint-regression/28-race_reach_37-indirect_racing.yml	5	goblint-regression	31148	713			false	OUT OF MEMORY:5			
cat-pso	c/goblint-regression/28-race_reach_45-escape_racing.yml	5	goblint-regression	31190	715			true	false(unreach-call):5	0.056969604	0.045819	26222592
