tool			Deagle 4.1.0	Deagle 4.1.0	Deagle 4.1.0	Deagle 4.1.0	CBMC 5.70.0 (cbmc-5.70.0-121-g4f69955d00)	CBMC 5.70.0 (cbmc-5.70.0-121-g4f69955d00)	CBMC 5.70.0 (cbmc-5.70.0-121-g4f69955d00)	CBMC 5.70.0 (cbmc-5.70.0-121-g4f69955d00)
run set			deagle-ilp32-census.deagle.r01.unreach-call	deagle-ilp32-census.deagle.r01.unreach-call	deagle-ilp32-census.deagle.r01.unreach-call	deagle-ilp32-census.deagle.r01.unreach-call	cbmc-ilp32-census-all.cbmc.r01.unreach-call	cbmc-ilp32-census-all.cbmc.r01.unreach-call	cbmc-ilp32-census-all.cbmc.r01.unreach-call	cbmc-ilp32-census-all.cbmc.r01.unreach-call
/Users/sujie/Documents/Codes/C++/GenMC/genmc/optimization-analysis/svcomp2026/remote-results/new-server/			status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)
cbmc/sv-benchmarks/c/weaver/chl-exp-term-symm.wvr.yml	unreach-call	true					true	0.932157207	0.9420162590104155	11.829248
cbmc/sv-benchmarks/c/weaver/popl20-simple-array-sum.wvr.yml	unreach-call	true					TIMEOUT	11.011169486	11.007745918992441	1001.107456
cbmc/sv-benchmarks/c/weaver/popl20-more-array-sum-alt.wvr.yml	unreach-call	false					TIMEOUT	11.019699229	11.00939678400755	420.646912
cbmc/sv-benchmarks/c/weaver/popl20-more-min-le-max.wvr.yml	unreach-call	true					TIMEOUT	10.982005119	11.007607704028487	253.194240
cbmc/sv-benchmarks/c/weaver/unroll-3.wvr.yml	unreach-call	true					TIMEOUT	11.054748143	11.011151671002153	832.598016
cbmc/sv-benchmarks/c/weaver/popl20-more-array-sum.wvr.yml	unreach-call	false					TIMEOUT	11.028157846	11.009870986978058	634.318848
cbmc/sv-benchmarks/c/weaver/chl-chromosome-opt-symm.wvr.yml	unreach-call	true					true	2.804560686	2.8097422079881653	23.805952
cbmc/sv-benchmarks/c/weaver/popl20-more-max-array.wvr.yml	unreach-call	true					TIMEOUT	11.012265206	11.007169469026849	224.956416
cbmc/sv-benchmarks/c/weaver/popl20-more-min-array.wvr.yml	unreach-call	true					TIMEOUT	11.012492835	11.008799990988337	229.220352
cbmc/sv-benchmarks/c/weaver/unroll-4.wvr.yml	unreach-call	true					TIMEOUT	11.085263533	11.007217432023026	1469.513728
