model,task,status,category,cputime_s,walltime_s,memory_bytes,backward_offered,backward_queued,co_offered,co_queued,inconsistent_revisit_prefixes,max_retained_work,max_rf_same_value_class,realized_revisit_prefixes,rf_offered,rf_queued,rf_same_value_candidate_upper_bound,rf_same_value_choice_points,rf_value_choice_points,rf_value_classes,validity_queries,work_added,work_popped
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-wmm/mix008.opt.yml,TIMEOUT,error,60.968758412,61.022303513018414,26599424,6740,6740,41666,0,0,44,7,11370,24224,6753,6753,4646,4646,4646,13906,13493,13464
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-wmm/mix005.opt.yml,TIMEOUT,error,60.955545297,61.01556569407694,26558464,6740,6740,41666,0,0,44,7,11370,24224,6753,6753,4646,4646,4646,13906,13493,13464
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-wmm/mix014.opt.yml,TIMEOUT,error,60.963195867,61.014623851981014,26632192,6843,6842,40740,0,0,43,7,11818,23804,6848,6848,4990,4990,4990,14942,13690,13671
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-wmm/mix013.opt.yml,TIMEOUT,error,60.673139601,61.023935261997394,26640384,6843,6842,40740,0,0,43,7,11818,23804,6848,6848,4990,4990,4990,14942,13690,13671
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-wmm/safe009_rmo.oepc.yml,false(unreach-call),correct,0.09491494,0.10996216500643641,26636288,11,11,50,0,0,12,2,12,36,11,11,11,11,11,11,23,12
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-wmm/rfi006_pso.oepc_pso.opt_tso.oepc_tso.opt.yml,TIMEOUT,error,60.96495869,61.019708670908585,26750976,7005,7005,40957,0,0,36,8,11680,24002,7020,7020,4687,4687,4687,14037,14025,13999
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-wmm/safe008_power.opt.yml,TIMEOUT,error,60.583308694,61.017634213902056,26640384,6997,6997,40555,0,0,37,7,11885,23790,7004,7004,4900,4900,4900,14676,14001,13982
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-wmm/safe000_power.opt.yml,TIMEOUT,error,60.96302885,61.01294878788758,26664960,6997,6997,40555,0,0,37,7,11885,23790,7004,7004,4900,4900,4900,14676,14001,13982
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-wmm/safe028_rmo.yml,TIMEOUT,error,60.959355733,61.01474779401906,26664960,7053,7053,39933,0,0,35,7,12187,23506,7061,7061,5142,5142,5142,15410,14114,14098
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-wmm/thin002_power.opt.yml,TIMEOUT,error,60.972287474,61.021032777032815,26636288,6997,6997,40555,0,0,41,7,11885,23790,7004,7004,4900,4900,4900,14676,14001,13982
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-wmm/mix001.oepc.yml,TIMEOUT,error,60.960862781,61.01695106399711,26624000,6740,6739,41664,0,0,41,7,11370,24224,6754,6754,4646,4646,4646,13908,13493,13464
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-wmm/safe019_rmo.oepc.yml,false(unreach-call),correct,0.111904456,0.12771874200552702,26783744,14,14,62,0,0,15,2,15,45,14,14,14,14,14,14,29,15
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-wmm/rfi005.yml,false(unreach-call),correct,0.084173344,0.09539162402506918,26722304,7,7,27,0,0,8,2,8,21,7,7,7,7,7,7,15,8
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-wmm/rfi000_power.oepc_pso.oepc_rmo.oepc.yml,false(unreach-call),correct,0.982683204,0.9938709390116856,26718208,158,158,1122,0,0,20,4,289,653,166,166,140,140,140,400,325,307
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-deagle/arithmetic_prog_ok.yml,ERROR (compilation),error,0.061285494,0.07015363906975836,25792512,,,,,,,,,,,,,,,,,
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-wmm/safe009_power.oepc.yml,false(unreach-call),correct,0.094849964,0.10683818394318223,26796032,11,11,50,0,0,12,2,12,36,11,11,11,11,11,11,23,12
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-wmm/safe019_rmo.opt.yml,TIMEOUT,error,60.940158042,61.0185251259245,26656768,7160,7159,39976,0,0,38,7,12143,23593,7179,7179,4995,4995,4995,14963,14338,14308
