category	cputime	executions	expected	memory	model	repetition	status	task	variant	walltime
correct	1.256703908		false	25821184.0	sc	01	false(unreach-call)	pthread/triangular-2.yml	cache	1.2650057810242288
correct	0.070905279		true	25739264.0	sc	01	true	pthread-ext/02_inc_cas.yml	cache	0.07910860801348463
correct	2.977554711		false	56438784.0	sc	01	false(unreach-call)	goblint-regression/28-race_reach_21-deref_read_racing.yml	cache	2.993775267037563
correct	0.070139997		true	25821184.0	sc	01	true	pthread-ext/48_ticket_lock_low_contention_vs.yml	cache	0.07814502599649131
error	23.389201151		false	3999997952.0	sc	01	OUT OF MEMORY	goblint-regression/28-race_reach_37-indirect_racing.yml	cache	23.419326635019388
correct	0.070212436		false	25915392.0	sc	01	false(unreach-call)	goblint-regression/28-race_reach_45-escape_racing.yml	cache	0.07929174200398847
correct	0.0695465		true	25825280.0	sc	01	true	goblint-regression/28-race_reach_46-escape_racefree.yml	cache	0.07905887597007677
error	21.91344995		false	3999997952.0	sc	01	OUT OF MEMORY	goblint-regression/28-race_reach_01-simple_racing.yml	cache	21.937564640014898
error	22.693637677		false	3999997952.0	sc	01	OUT OF MEMORY	goblint-regression/28-race_reach_11-ptr_racing.yml	cache	22.728013116982765
correct	0.079257248		false	25956352.0	sc	01	false(unreach-call)	pthread-deagle/circular_buffer_bad.yml	cache	0.08376118197338656
correct	4.015683553		true	25899008.0	sc	01	true	pthread/fib_safe-5.yml	cache	4.032830438984092
correct	21.096299785		true	25890816.0	sc	01	true	pthread/fib_safe-6.yml	cache	21.1134042449994
correct	1.171967439		false	25825280.0	sc	01	false(unreach-call)	pthread/fib_unsafe-5.yml	cache	1.1799996049958281
correct	5.849495045		false	25899008.0	sc	01	false(unreach-call)	pthread/fib_unsafe-6.yml	cache	5.863922326010652
correct	30.194885011		false	25841664.0	sc	01	false(unreach-call)	pthread/fib_unsafe-7.yml	cache	30.262062858964782
error	21.482554868		false	3999997952.0	sc	01	OUT OF MEMORY	goblint-regression/28-race_reach_24-sound_lock_racing.yml	cache	21.503799162979703
correct	0.069310358		false	25956352.0	sc	01	false(unreach-call)	pthread/lazy01.yml	cache	0.07812760403612629
correct	2.976701784		true	26005504.0	sc	01	true	pthread-deagle/circular_buffer_ok.yml	cache	2.9962321000057273
correct	0.07352578		true	25894912.0	sc	01	true	pthread-atomic/szymanski.yml	cache	0.08226362004643306
correct	0.071597855		true	25890816.0	sc	01	true	pthread-atomic/dekker.yml	cache	0.08109947800403461
correct	0.073883343		true	25825280.0	sc	01	true	pthread-atomic/dekker-unfair.yml	cache	0.0842856730450876
correct	0.072331006		false	25964544.0	sc	01	false(unreach-call)	pthread-theta/unwind3-1.yml	cache	0.08096313895657659
correct	0.065477151		true	25841664.0	sc	01	true	pthread-theta/exponential-nondet.yml	cache	0.07338086795061827
correct	0.072904938		false	25919488.0	sc	01	false(unreach-call)	pthread-theta/unwind2-1.yml	cache	0.07978069200180471
correct	0.069856463		false	25939968.0	sc	01	false(unreach-call)	pthread-theta/unwind2-100.yml	cache	0.07899760000873357
correct	13.028081862		true	25980928.0	sc	01	true	pthread/butterfly.yml	cache	13.044986160006374
correct	0.06600238		true	25735168.0	sc	01	true	pthread-ext/43_NetBSD_sysmon_power_sliced.yml	cache	0.07478550501400605
error	24.561700925		false	3999997952.0	sc	01	OUT OF MEMORY	goblint-regression/28-race_reach_06-cond_racing1.yml	cache	24.584660277003422
correct	0.079781608		true	26013696.0	sc	01	true	pthread/queue_ok.yml	cache	0.0909433740307577
correct	1.317976925		true	160440320.0	sc	01	true	pthread/queue_ok_longer.yml	cache	1.3285341080045328
