variant	model	repetition	task	status	category	cpu_s	wall_s	memory_bytes	returnvalue	executions	lazy-cycle-checks	reasoner-calls	reasoner-ns	reasoner-table-slots	reasoner-derived-candidates	reasoner-composition-middles	provenance-materializations	provenance-materialization-ns	provenance-materialization-ops	nogood-learn-attempts	nogood-learned	nogood-match-queries	nogood-literal-checks	nogood-hits	nogood-maximum-bytes
baseline	sc	r02	48_ticket_lock_low_contention_vs-pthread.yml	true	correct	0.070807693	0.0760301019763574	25825280.0	0	0	0														
baseline	sc	r02	46_monabsex2_vs.yml	true	correct	0.072728482	0.07433399395085871	25772032.0	0	0	0														
baseline	sc	r02	45_monabsex1_vs.yml	true	correct	0.067293431	0.07071352400816977	25772032.0	0	0	0														
baseline	sc	r02	stateful01-1.yml	false(unreach-call)	correct	0.065562898	0.0698966410709545	25821184.0	42	0	0														
baseline	sc	r02	stateful01-2.yml	true	correct	0.070793869	0.07814033492468297	25825280.0	0	6	0														
baseline	sc	r02	time_var_mutex.yml	true	correct	0.071289081	0.07334719004575163	25923584.0	0	2	0														
baseline	sc	r02	01b_inc.yml	true	correct	0.068560616	0.07646095100790262	25886720.0	0	0	0														
baseline	sc	r02	triangular-1.yml	true	correct	6.064915074	6.079930996987969	25948160.0	0	16632	0														
baseline	sc	r02	triangular-2.yml	false(unreach-call)	correct	1.475737355	1.4812192890094593	25939968.0	42	3638	0														
baseline	sc	r02	02_inc_cas.yml	true	correct	0.067954768	0.07279901998117566	25763840.0	0	0	0														
baseline	sc	r02	28-race_reach_21-deref_read_racing.yml	false(unreach-call)	correct	3.370222718	3.3849382869666442	56586240.0	42	0	0														
baseline	sc	r02	48_ticket_lock_low_contention_vs.yml	true	correct	0.069441328	0.07381801796145737	25886720.0	0	0	0														
baseline	sc	r02	28-race_reach_37-indirect_racing.yml	false(unreach-call)	correct	12.138856304	12.163568519055843	2061103104.0	42	0	0														
baseline	sc	r02	28-race_reach_45-escape_racing.yml	false(unreach-call)	correct	0.075941151	0.0801043180981651	25903104.0	42	0	0														
baseline	sc	r02	28-race_reach_46-escape_racefree.yml	true	correct	0.067360335	0.07315357495099306	25853952.0	0	2	0														
baseline	sc	r02	28-race_reach_01-simple_racing.yml	false(unreach-call)	correct	12.175165877	12.204646724974737	2061025280.0	42	0	0														
baseline	sc	r02	28-race_reach_11-ptr_racing.yml	false(unreach-call)	correct	12.174478529	12.209587409975938	2060922880.0	42	0	0														
baseline	sc	r02	circular_buffer_bad.yml	false(unreach-call)	correct	0.07375448	0.08075934206135571	25968640.0	42	1	0														
baseline	sc	r02	fib_safe-5.yml	true	correct	3.613122716	3.6277145190397277	25858048.0	0	2772	0														
baseline	sc	r02	fib_safe-6.yml	true	correct	17.849350539	17.8979165579658	25886720.0	0	12012	0														
baseline	sc	r02	fib_unsafe-5.yml	false(unreach-call)	correct	0.996705418	1.003649586928077	25911296.0	42	632	0														
baseline	sc	r02	fib_unsafe-6.yml	false(unreach-call)	correct	4.977464624	4.990552118979394	25829376.0	42	2942	0														
baseline	sc	r02	fib_unsafe-7.yml	false(unreach-call)	correct	24.126587419	24.151013221009634	25829376.0	42	13238	0														
baseline	sc	r02	28-race_reach_24-sound_lock_racing.yml	false(unreach-call)	correct	11.837373277	11.871478249900974	2061012992.0	42	0	0														
baseline	sc	r02	lazy01.yml	false(unreach-call)	correct	0.064436626	0.06970099895261228	25956352.0	42	1	0														
baseline	sc	r02	circular_buffer_ok.yml	true	correct	2.886730547	2.8932862849906087	25931776.0	0	3432	0														
baseline	sc	r02	szymanski.yml	true	correct	0.060069428	0.06555446598213166	25862144.0	0	6	0														
baseline	sc	r02	dekker.yml	true	correct	0.061476664	0.0654807579703629	25931776.0	0	4	0														
baseline	sc	r02	dekker-unfair.yml	true	correct	0.065628282	0.07057070301380008	25833472.0	0	4	0														
baseline	sc	r02	unwind3-1.yml	false(unreach-call)	correct	0.064603213	0.06818864308297634	25890816.0	42	1	0														
baseline	sc	r02	exponential-nondet.yml	true	correct	0.058143001	0.06650808406993747	25874432.0	0	1	0														
baseline	sc	r02	unwind2-1.yml	false(unreach-call)	correct	0.065177367	0.0702597179915756	25915392.0	42	1	0														
baseline	sc	r02	unwind2-100.yml	false(unreach-call)	correct	0.064773413	0.06929683301132172	25956352.0	42	1	0														
baseline	sc	r02	butterfly.yml	true	correct	13.043144796	13.056035308982246	26054656.0	0	64560	0														
baseline	sc	r02	43_NetBSD_sysmon_power_sliced.yml	true	correct	0.055549467	0.05932854698039591	25780224.0	0	0	0														
baseline	sc	r02	28-race_reach_06-cond_racing1.yml	false(unreach-call)	correct	11.638549017	11.663830081000924	2061090816.0	42	0	0														
baseline	sc	r02	queue_ok.yml	true	correct	0.067393894	0.0734210389200598	26017792.0	0	2	0														
baseline	sc	r02	queue_ok_longer.yml	true	correct	0.426185221	0.4345903620123863	79343616.0	0	2	0														
baseline	sc	r02	queue_ok_longest.yml	true	correct	1.519910064	1.5294039490399882	276955136.0	0	2	0														
baseline	sc	r02	queue_longer.yml	TIMEOUT	error	61.047847794	61.08479397499468	1148080128.0																	
baseline	sc	r02	queue.yml	false(unreach-call)	correct	0.090015739	0.09872818703297526	26071040.0	42	2	0														
baseline	sc	r02	singleton.yml	false(unreach-call)	correct	0.068313887	0.07602197804953903	26107904.0	42	1	0														
baseline	sc	r02	singleton_with-uninit-problems.yml	true	correct	0.06892944	0.07418364705517888	26091520.0	0	4	0														
baseline	sc	r02	pthread-demo-datarace-3.yml	false(unreach-call)	correct	0.111447281	0.12089548399671912	25837568.0	42	0	0														
baseline	sc	r02	reorder_2.yml	false(unreach-call)	correct	0.138246205	0.14260324090719223	25956352.0	42	162	0														
baseline	sc	r02	twostage_3.yml	false(unreach-call)	correct	0.077923589	0.08121728093829006	26214400.0	42	4	0														
baseline	sc	r02	race-1_1-join.yml	true	correct	0.066312019	0.06999676791019738	26009600.0	0	1	0														
baseline	sc	r02	race-1_3-join.yml	false(unreach-call)	correct	0.061213505	0.06906761799473315	26083328.0	42	1	0														
baseline	sc	r02	race-1_2-join.yml	false(unreach-call)	correct	0.065696161	0.07029982295352966	26091520.0	42	1	0														
baseline	sc	r02	race-4_1-thread_local_vars.yml	true	correct	0.064821063	0.07400029199197888	26083328.0	0	0	0														
baseline	sc	r02	race-2_1-container_of.yml	true	correct	0.066512582	0.07191793294623494	26095616.0	0	1	0														
baseline	sc	r02	race-3_1-container_of-global.yml	true	correct	0.061076204	0.06825029791798443	26202112.0	0	1	0														
baseline	sc	r03	13-privatized_66-mine-W-init_true.yml	true	correct	0.065120731	0.07181878399569541	25690112.0	0	1	0														
baseline	sc	r03	36-apron_41-threadenter-no-locals_unknown_1_pos.yml	false(unreach-call)	correct	0.067515793	0.07180551695637405	25710592.0	42	0	0														
baseline	sc	r03	36-apron_16-traces-unprot2_true.yml	true	correct	0.071637327	0.07696729409508407	25817088.0	0	1	0														
baseline	sc	r03	13-privatized_57-singlethreaded-unlock_true.yml	true	correct	0.063544553	0.07680934097152203	25772032.0	0	1	0														
baseline	sc	r03	13-privatized_47-refine-protected2_true.yml	true	correct	0.064118166	0.07390551292337477	25780224.0	0	2	0														
baseline	sc	r03	13-privatized_46-refine-protected1_true.yml	true	correct	0.064725446	0.07159501395653933	25804800.0	0	1	0														
baseline	sc	r03	36-apron_11-traces-max-simple_true.yml	true	correct	0.067055346	0.06848397699650377	25739264.0	0	2	0														
baseline	sc	r03	13-privatized_41-traces-ex-7_unknown_1_pos.yml	false(unreach-call)	correct	0.065649117	0.06949403893668205	25767936.0	42	0	0														
baseline	sc	r03	13-privatized_41-traces-ex-7_unknown_1_neg.yml	false(unreach-call)	correct	0.066853454	0.0726671569282189	25812992.0	42	0	0														
baseline	sc	r03	13-privatized_40-traces-ex-6_true.yml	true	correct	0.064590637	0.07150865998119116	25821184.0	0	1	0														
baseline	sc	r03	13-privatized_58-singlethreaded-lock_true.yml	true	correct	0.068110073	0.07393708697054535	25845760.0	0	1	0														
baseline	sc	r03	13-privatized_44-traces-mine2_true.yml	true	correct	0.06535752	0.07135530503001064	25731072.0	0	1	0														
baseline	sc	r03	13-privatized_18-first-reads_unknown_2_pos.yml	false(unreach-call)	correct	0.064254949	0.07258230703882873	25841664.0	42	0	0														
baseline	sc	r03	13-privatized_18-first-reads_unknown_1_neg.yml	false(unreach-call)	correct	0.064973948	0.0729886619374156	25784320.0	42	0	0														
baseline	sc	r03	13-privatized_36-traces-ex-3_true.yml	true	correct	0.064565978	0.06781502196099609	25747456.0	0	3	0														
baseline	sc	r03	13-privatized_18-first-reads_true.yml	true	correct	0.064419925	0.07224461494479328	25837568.0	0	2	0														
