variant	model	repetition	task	copy_ns	offline_ns	peak_snapshot_bytes	max_stable_events	lazy_cycle_checks	lazy_edge_candidates	lazy_depth_fallbacks	product_checks	product_state_visits	product_transitions	product_size_fallbacks	executions	records	process_rss_bytes
after	pso	r02	13-privatized_38-traces-ex-4-switch_true.yml	0	839428	4888	25	60	411	0	30	1361	1757	0	2	1	25960448
after	pso	r02	13-privatized_40-traces-ex-6_true.yml	0	274351	4184	21	16	60	0	8	287	440	0	1	1	26034176
after	pso	r02	13-privatized_41-traces-ex-7_unknown_1_neg.yml	0	0	0	0	0	0	0	0	0	0	0	0	1	25960448
after	pso	r02	13-privatized_41-traces-ex-7_unknown_1_pos.yml	0	44239	2776	13	2	17	0	1	60	137	0	0	1	25993216
after	pso	r02	13-privatized_42-traces-ex-mini_true.yml	0	597968	5064	26	40	323	0	20	1042	1623	0	2	1	26054656
after	pso	r02	13-privatized_44-traces-mine2_true.yml	0	120978	4184	21	6	28	0	3	104	196	0	1	1	25939968
after	pso	r02	13-privatized_45-traces-per-global-and-current-lock-mine-incomparable_true.yml	0	830479	4888	25	58	380	0	29	1414	2246	0	2	1	25956352
after	pso	r02	13-privatized_46-refine-protected1_true.yml	0	120695	2952	14	8	21	0	4	168	164	0	1	1	25968640
after	pso	r02	13-privatized_47-refine-protected2_true.yml	0	277252	3128	15	20	67	0	10	314	437	0	2	1	25927680
after	pso	r02	13-privatized_57-singlethreaded-unlock_true.yml	0	58211	1544	6	2	3	0	1	7	7	0	1	1	25939968
after	pso	r02	13-privatized_58-singlethreaded-lock_true.yml	0	49233	1544	6	2	3	0	1	7	7	0	1	1	25976832
after	pso	r02	13-privatized_66-mine-W-init_true.yml	0	0	0	0	0	0	0	0	0	0	0	1	1	25899008
after	pso	r02	13-privatized_68-pfscan_protected_loop_minimal_interval_true.yml	0	48757	2248	10	2	4	0	1	22	27	0	0	1	26124288
after	pso	r02	13-privatized_69-refine-protected-loop-interval_true.yml	0	45659	2248	10	2	4	0	1	22	27	0	0	1	26091520
after	pso	r02	14_spin2003.yml	0	47043	2600	12	2	3	0	1	15	15	0	0	1	25964544
after	pso	r02	28-race_reach_01-simple_racing.yml	0	0	0	0	0	0	0	0	0	0	0	0	0	1057169408
after	pso	r02	28-race_reach_06-cond_racing1.yml	0	0	0	0	0	0	0	0	0	0	0	0	0	1057132544
after	pso	r02	28-race_reach_11-ptr_racing.yml	0	0	0	0	0	0	0	0	0	0	0	0	0	1057193984
after	pso	r02	28-race_reach_21-deref_read_racing.yml	0	0	0	0	0	0	0	0	0	0	0	0	1	56270848
after	pso	r02	28-race_reach_24-sound_lock_racing.yml	0	0	0	0	0	0	0	0	0	0	0	0	0	1057091584
after	pso	r02	28-race_reach_37-indirect_racing.yml	0	0	0	0	0	0	0	0	0	0	0	0	0	1057124352
after	pso	r02	28-race_reach_45-escape_racing.yml	0	55975	3832	19	2	28	0	1	93	261	0	0	1	26107904
after	pso	r02	28-race_reach_46-escape_racefree.yml	0	809666	5592	29	56	675	0	28	1279	1700	0	2	1	26075136
after	pso	r02	29_conditionals_vs.yml	0	0	0	0	0	0	0	0	0	0	0	0	1	25952256
after	pso	r02	36-apron_11-traces-max-simple_true.yml	0	271266	3304	16	20	67	0	10	315	437	0	2	1	25968640
after	pso	r02	36-apron_16-traces-unprot2_true.yml	0	0	0	0	0	0	0	0	0	0	0	1	1	25972736
after	pso	r02	36-apron_17-traces-rpb-litmus_unknown_1_neg.yml	0	0	0	0	0	0	0	0	0	0	0	0	1	26062848
after	pso	r02	36-apron_21-traces-cluster-based_true.yml	0	2658667	6648	35	172	1147	0	86	4614	7901	0	6	1	26034176
after	pso	r02	36-apron_22-traces-write-centered-vs-meet-mutex_true_no-overflow.yml	0	0	0	0	0	0	0	0	0	0	0	1	1	26038272
after	pso	r02	36-apron_41-threadenter-no-locals_unknown_1_pos.yml	0	0	0	0	0	0	0	0	0	0	0	0	1	25989120
after	pso	r02	43_NetBSD_sysmon_power_sliced.yml	0	0	0	0	0	0	0	0	0	0	0	0	1	26005504
after	pso	r02	45_monabsex1_vs.yml	0	120817	3304	16	8	31	0	4	80	80	0	0	1	26013696
after	pso	r02	46_monabsex2_vs.yml	0	233661	4184	21	18	66	0	9	187	187	0	0	1	26046464
after	pso	r02	48_ticket_lock_low_contention_vs-pthread.yml	0	44447	2600	12	2	3	0	1	15	15	0	0	1	26034176
after	pso	r02	48_ticket_lock_low_contention_vs.yml	0	136588	4888	25	8	57	0	4	236	236	0	0	1	26071040
after	pso	r02	butterfly.yml	0	12789123376	11224	61	694890	17811839	0	347445	51969143	103557285	0	64560	1	26243072
after	pso	r02	circular_buffer_bad.yml	0	12657261	31880	89	476	13886	0	238	21122	91047	0	1	1	26181632
after	pso	r02	circular_buffer_ok.yml	0	0	0	0	0	0	0	0	0	0	0	0	0	26095616
after	pso	r02	dekker-unfair.yml	0	853621	6648	35	74	464	0	37	2552	3866	0	4	1	26050560
after	pso	r02	dekker.yml	0	816262	6648	35	70	451	0	35	2446	3750	0	4	1	26083328
after	pso	r02	exponential-nondet.yml	0	0	0	0	0	0	0	0	0	0	0	1	1	26091520
after	pso	r02	fib_safe-5.yml	0	0	0	0	0	0	0	0	0	0	0	0	0	26107904
after	pso	r02	fib_safe-6.yml	0	0	0	0	0	0	0	0	0	0	0	0	0	26071040
after	pso	r02	fib_unsafe-5.yml	0	5382732777	171752	243	96526	3814084	0	48263	4599693	44479805	0	632	1	26038272
after	pso	r02	fib_unsafe-6.yml	0	0	0	0	0	0	0	0	0	0	0	0	0	26034176
after	pso	r02	fib_unsafe-7.yml	0	0	0	0	0	0	0	0	0	0	0	0	0	26087424
after	pso	r02	lazy01.yml	0	418046	5592	29	36	327	0	18	776	1452	0	1	1	26140672
after	pso	r02	pthread-demo-datarace-3.yml	0	30397780	231304	262	80	454000	0	40	55122	1628201	0	0	1	26046464
after	pso	r02	queue.yml	0	347005591	145000	205	5918	1480526	0	2959	379082	2682980	0	2	1	26296320
after	pso	r02	queue_longer.yml	0	0	0	0	0	0	0	0	0	0	0	0	0	85995520
after	pso	r02	queue_ok.yml	0	8080467	534328	433	34	102809	0	17	4432	155806	0	2	1	26144768
after	pso	r02	queue_ok_longer.yml	118484353	3079663168	44133960	8033	34	49930426	0	1	25	28	16	2	1	116719616
after	pso	r02	queue_ok_longest.yml	556803241	17167960367	174022760	16033	34	203270101	16	1	25	28	16	2	1	421462016
after	pso	r02	race-1_1-join.yml	0	73607	3304	16	6	17	0	3	51	51	0	1	1	26218496
after	pso	r02	race-1_2-join.yml	0	311345	5416	28	26	333	0	13	684	1099	0	1	1	26349568
after	pso	r02	race-1_3-join.yml	0	306015	5416	28	26	333	0	13	684	1099	0	1	1	26238976
after	pso	r02	race-2_1-container_of.yml	0	0	0	0	0	0	0	0	0	0	0	1	1	26361856
after	pso	r02	race-3_1-container_of-global.yml	0	0	0	0	0	0	0	0	0	0	0	1	1	26361856
after	pso	r02	race-4_1-thread_local_vars.yml	0	0	0	0	0	0	0	0	0	0	0	0	1	26361856
after	pso	r02	reorder_2.yml	0	247188571	29416	82	12692	356071	0	6346	581642	1323681	0	162	1	26218496
after	pso	r02	singleton.yml	0	545235	8760	47	40	280	0	20	1389	2398	0	1	1	26218496
after	pso	r02	singleton_with-uninit-problems.yml	0	1636492	8936	48	130	956	0	65	4022	5806	0	4	1	26222592
after	pso	r02	stateful01-1.yml	0	420103	6824	36	20	318	0	10	732	1874	0	0	1	26116096
after	pso	r02	stateful01-2.yml	0	2530988	6824	36	246	1692	0	123	4722	7687	0	6	1	26107904
after	pso	r02	szymanski.yml	0	6945342	5944	31	756	4332	0	378	19100	22401	0	6	1	26116096
after	pso	r02	time_var_mutex.yml	0	719467	6296	33	44	346	0	22	1211	2104	0	2	1	26066944
after	pso	r02	triangular-1.yml	0	0	0	0	0	0	0	0	0	0	0	0	0	26021888
after	pso	r02	triangular-2.yml	0	7454973728	24488	68	493952	6107784	0	246976	13697731	25261021	0	3638	1	26140672
after	pso	r02	twostage_3.yml	0	4778117	36104	101	138	12711	0	69	16782	68265	0	4	1	26353664
after	pso	r02	unwind2-1.yml	0	71439	3656	18	6	30	0	3	100	104	0	1	1	26136576
after	pso	r02	unwind2-100.yml	0	69542	3656	18	6	30	0	3	100	104	0	1	1	26177536
after	pso	r02	unwind3-1.yml	0	84958	3656	18	6	83	0	3	175	345	0	1	1	26054656
after	pso	r03	01b_inc.yml	0	162927	4184	21	10	76	0	5	257	296	0	0	1	26034176
after	pso	r03	02_inc_cas.yml	0	0	0	0	0	0	0	0	0	0	0	0	1	26042368
after	pso	r03	13-privatized_01-priv_nr_true.yml	0	333481	4360	22	20	410	0	10	435	788	0	2	1	25989120
after	pso	r03	13-privatized_18-first-reads_true.yml	0	292465	3304	16	20	87	0	10	319	444	0	2	1	26034176
after	pso	r03	13-privatized_18-first-reads_unknown_1_neg.yml	0	42895	1896	8	2	12	0	1	37	62	0	0	1	25976832
after	pso	r03	13-privatized_18-first-reads_unknown_2_pos.yml	0	51201	1896	8	2	12	0	1	37	62	0	0	1	26030080
after	pso	r03	13-privatized_19-publish-precision_true.yml	0	927249	4536	23	66	521	0	33	1779	2234	0	3	1	26079232
after	pso	r03	13-privatized_19-publish-precision_unknown_1_neg.yml	0	0	0	0	0	0	0	0	0	0	0	0	1	25997312
after	pso	r03	13-privatized_19-publish-precision_unknown_1_pos.yml	0	56173	2776	13	2	17	0	1	62	114	0	0	1	26021888
after	pso	r03	13-privatized_19-publish-precision_unknown_2_neg.yml	0	56687	2776	13	2	17	0	1	62	114	0	0	1	25989120
after	pso	r03	13-privatized_19-publish-precision_unknown_2_pos.yml	0	0	0	0	0	0	0	0	0	0	0	0	1	25993216
after	pso	r03	13-privatized_20-publish-regression_true.yml	0	524406	4712	24	36	387	0	18	758	899	0	2	1	26083328
after	pso	r03	13-privatized_24-multiple-protecting_true.yml	0	16591622	10520	57	852	12744	0	426	49443	79141	0	7	1	26120192
after	pso	r03	13-privatized_25-struct_nr_true.yml	0	250690	4360	22	20	410	0	10	435	788	0	2	1	26009600
after	pso	r03	13-privatized_27-multiple-protecting2_true.yml	0	57264314	11224	61	3092	47319	0	1546	126165	191546	0	26	1	26112000
after	pso	r03	13-privatized_29-multiple-protecting2-vesal_true.yml	0	2654341	6824	36	176	1937	0	88	5589	7742	0	4	1	26054656
after	pso	r03	13-privatized_30-traces-oplus-vs-meet_true.yml	0	859555	5064	26	60	540	0	30	1470	1985	0	2	1	26087424
after	pso	r03	13-privatized_31-traces-mine-vs-mutex_true.yml	0	2315225	5768	30	168	1514	0	84	4423	5494	0	4	1	26066944
after	pso	r03	13-privatized_32-traces-mine-vs-oplus-vs-meet_true.yml	0	2358348	6824	36	152	1965	0	76	5031	7134	0	3	1	26054656
after	pso	r03	13-privatized_33-traces-v-matters_true.yml	0	356793	5240	27	20	121	0	10	509	1029	0	1	1	26030080
after	pso	r03	13-privatized_34-traces-minepp-L-needs-to-be-um_true.yml	0	284859	5416	28	24	151	0	12	515	745	0	1	1	26042368
after	pso	r03	13-privatized_35-traces-ex-2_true.yml	0	857653	4888	25	60	403	0	30	1385	1805	0	2	1	26083328
after	pso	r03	13-privatized_36-traces-ex-3_true.yml	0	760054	4360	22	54	343	0	27	1132	1667	0	3	1	25964544
after	pso	r03	13-privatized_37-traces-ex-4_true.yml	0	776844	4888	25	56	316	0	28	1221	1498	0	2	1	26013696
